ACLON,ACLAT,HER,STRATUM,CRUISE,Country
11.87735,56.14272,25.33511,21,26D4201806,DK
11.87735,56.14272,25.33511,21,26D4201806,DK
11.63748,56.1431,37.13574,21,26D4201806,DK
11.63748,56.1431,37.13574,21,26D4201806,DK
11.60756,56.14291,6.22419,21,26D4201806,DK
11.60756,56.14291,6.22419,21,26D4201806,DK
11.45767,56.14191,2.03766,21,26D4201806,DK
11.45767,56.14191,2.03766,21,26D4201806,DK
5.2878966,56.655754,0,141a,NA,NOR
5.2878966,56.655754,0,141a,NA,NOR
5.1447535,56.661266,10.092253,141a,NA,NOR
5.1447535,56.661266,10.092253,141a,NA,NOR
5.0134935,56.65225,4.990891,141a,NA,NOR
5.0134935,56.65225,4.990891,141a,NA,NOR
4.8625565,56.654034,18.036761,141a,NA,NOR
4.8625565,56.654034,18.036761,141a,NA,NOR
4.7115417,56.65256,5.003966,141a,NA,NOR
4.7115417,56.65256,5.003966,141a,NA,NOR
4.560655,56.652496,50.012316,141a,NA,NOR
4.560655,56.652496,50.012316,141a,NA,NOR
4.409848,56.65529,78.72593,141a,NA,NOR
4.409848,56.65529,78.72593,141a,NA,NOR
4.258975,56.657772,34.857903,141a,NA,NOR
4.258975,56.657772,34.857903,141a,NA,NOR
4.1080265,56.658154,11.44794,141a,NA,NOR
4.1080265,56.658154,11.44794,141a,NA,NOR
3.959195,56.64857,19.92955,141a,NA,NOR
3.959195,56.64857,19.92955,141a,NA,NOR
3.8117917,56.65374,0,141a,NA,NOR
3.8117917,56.65374,0,141a,NA,NOR
3.66079,56.655087,4.93289,141a,NA,NOR
3.66079,56.655087,4.93289,141a,NA,NOR
3.509975,56.65876,0,141a,NA,NOR
3.509975,56.65876,0,141a,NA,NOR
3.3591115,56.662075,0,141a,NA,NOR
3.3591115,56.662075,0,141a,NA,NOR
3.209065,56.653137,0,141a,NA,NOR
3.209065,56.653137,0,141a,NA,NOR
3.0582983,56.649227,34.994202,141a,NA,NOR
3.0582983,56.649227,34.994202,141a,NA,NOR
2.9075134,56.64612,0,141a,NA,NOR
2.9075134,56.64612,0,141a,NA,NOR
2.7567966,56.64167,78.555126,141a,NA,NOR
2.7567966,56.64167,78.555126,141a,NA,NOR
2.6063216,56.635723,9.988315,141a,NA,NOR
2.6063216,56.635723,9.988315,141a,NA,NOR
2.455645,56.632088,11.510623,141a,NA,NOR
2.455645,56.632088,11.510623,141a,NA,NOR
2.305045,56.63698,15.165885,141a,NA,NOR
2.305045,56.63698,15.165885,141a,NA,NOR
2.1543434,56.641567,0,141a,NA,NOR
2.1543434,56.641567,0,141a,NA,NOR
6.0002117,56.639454,0,141a,NA,NOR
6.0002117,56.639454,0,141a,NA,NOR
5.8899865,56.64107,0,141a,NA,NOR
5.8899865,56.64107,0,141a,NA,NOR
5.739043,56.6412,0,141a,NA,NOR
5.739043,56.6412,0,141a,NA,NOR
5.58826,56.64358,0,141a,NA,NOR
5.58826,56.64358,0,141a,NA,NOR
5.437868,56.65024,0,141a,NA,NOR
5.437868,56.65024,0,141a,NA,NOR
-4.04,60.14,0,1,0918S,SCO
-4.04,60.14,0,1,0918S,SCO
-4.2,60.14,0,1,0918S,SCO
-4.2,60.14,0,1,0918S,SCO
11.15122,58.03333,123.30005,31,26D4201806,DK
11.15122,58.03333,123.30005,31,26D4201806,DK
11.11958,58.03355,83.15812,31,26D4201806,DK
11.11958,58.03355,83.15812,31,26D4201806,DK
10.9617,58.03358,16.9442,31,26D4201806,DK
10.9617,58.03358,16.9442,31,26D4201806,DK
10.77224,58.03215,11.11725,31,26D4201806,DK
10.77224,58.03215,11.11725,31,26D4201806,DK
10.64626,58.03275,1858.85666,31,26D4201806,DK
10.64626,58.03275,1858.85666,31,26D4201806,DK
10.48834,58.03174,7.55853,31,26D4201806,DK
10.48834,58.03174,7.55853,31,26D4201806,DK
4.7526884,59.358643,0,11a,NA,NOR
4.7526884,59.358643,0,11a,NA,NOR
4.6712666,59.35832,0,11a,NA,NOR
4.6712666,59.35832,0,11a,NA,NOR
4.5084515,59.36047,0,11a,NA,NOR
4.5084515,59.36047,0,11a,NA,NOR
4.3455687,59.36082,0,11a,NA,NOR
4.3455687,59.36082,0,11a,NA,NOR
4.1827445,59.363403,0,11a,NA,NOR
4.1827445,59.363403,0,11a,NA,NOR
4.020008,59.363243,0,11a,NA,NOR
4.020008,59.363243,0,11a,NA,NOR
3.85709,59.363464,0,11a,NA,NOR
3.85709,59.363464,0,11a,NA,NOR
3.693925,59.366066,23.673501,11a,NA,NOR
3.693925,59.366066,23.673501,11a,NA,NOR
3.5512602,59.364925,283.678505,11a,NA,NOR
3.5512602,59.364925,283.678505,11a,NA,NOR
3.3885374,59.36552,14.503141,11a,NA,NOR
3.3885374,59.36552,14.503141,11a,NA,NOR
3.3442883,59.365974,22.580752,11a,NA,NOR
3.3442883,59.365974,22.580752,11a,NA,NOR
3.2271633,59.36427,444.44501,11a,NA,NOR
3.2271633,59.36427,444.44501,11a,NA,NOR
3.065875,59.360554,79.521799,11a,NA,NOR
3.065875,59.360554,79.521799,11a,NA,NOR
2.90962,59.364353,7.999746,11a,NA,NOR
2.90962,59.364353,7.999746,11a,NA,NOR
2.7468383,59.36195,33.026766,11a,NA,NOR
2.7468383,59.36195,33.026766,11a,NA,NOR
2.58404,59.360344,35.536567,11a,NA,NOR
2.58404,59.360344,35.536567,11a,NA,NOR
2.4212117,59.35998,14.150158,11a,NA,NOR
2.4212117,59.35998,14.150158,11a,NA,NOR
2.2584207,59.35939,1.499687,11a,NA,NOR
2.2584207,59.35939,1.499687,11a,NA,NOR
2.0956233,59.358746,135.841152,11a,NA,NOR
2.0956233,59.358746,135.841152,11a,NA,NOR
-5.774581,57.93744,0,2,45CE2018WESPAS_2,IRL
-5.774581,57.93744,0,2,45CE2018WESPAS_2,IRL
-5.916915,57.90219,0,2,45CE2018WESPAS_2,IRL
-5.916915,57.90219,0,2,45CE2018WESPAS_2,IRL
-6.059723,57.86803,0,2,45CE2018WESPAS_2,IRL
-6.059723,57.86803,0,2,45CE2018WESPAS_2,IRL
-6.201365,57.83245,0,2,45CE2018WESPAS_2,IRL
-6.201365,57.83245,0,2,45CE2018WESPAS_2,IRL
-6.341996,57.79608,0,2,45CE2018WESPAS_2,IRL
-6.341996,57.79608,0,2,45CE2018WESPAS_2,IRL
-6.482002,57.75903,0,2,45CE2018WESPAS_2,IRL
-6.482002,57.75903,0,2,45CE2018WESPAS_2,IRL
-6.626483,57.72736,0,2,45CE2018WESPAS_2,IRL
-6.626483,57.72736,0,2,45CE2018WESPAS_2,IRL
10.42691,58.20123,75.25565,31,26D4201806,DK
10.42691,58.20123,75.25565,31,26D4201806,DK
10.58538,58.20104,37.71175,31,26D4201806,DK
10.58538,58.20104,37.71175,31,26D4201806,DK
10.61714,58.20105,54.18139,31,26D4201806,DK
10.61714,58.20105,54.18139,31,26D4201806,DK
10.80737,58.20179,34.79523,31,26D4201806,DK
10.80737,58.20179,34.79523,31,26D4201806,DK
10.93415,58.20337,3.63202,31,26D4201806,DK
10.93415,58.20337,3.63202,31,26D4201806,DK
1.9981433,59.10587,24.662371,11a,NA,NOR
1.9981433,59.10587,24.662371,11a,NA,NOR
2.1559684,59.109795,18.999554,11a,NA,NOR
2.1559684,59.109795,18.999554,11a,NA,NOR
2.3176816,59.10832,1.999811,11a,NA,NOR
2.3176816,59.10832,1.999811,11a,NA,NOR
2.4793067,59.110973,6.463796,11a,NA,NOR
2.4793067,59.110973,6.463796,11a,NA,NOR
2.6091816,59.11075,4.633857,11a,NA,NOR
2.6091816,59.11075,4.633857,11a,NA,NOR
2.6670418,59.11075,17.202893,11a,NA,NOR
2.6670418,59.11075,17.202893,11a,NA,NOR
2.8009818,59.112743,10.972124,11a,NA,NOR
2.8009818,59.112743,10.972124,11a,NA,NOR
2.9266977,59.114567,85.771906,11a,NA,NOR
2.9266977,59.114567,85.771906,11a,NA,NOR
3.0884466,59.11592,34.796532,11a,NA,NOR
3.0884466,59.11592,34.796532,11a,NA,NOR
3.22385,59.112877,0.561683,11a,NA,NOR
3.22385,59.112877,0.561683,11a,NA,NOR
3.23122,59.114902,5.001844,11a,NA,NOR
3.23122,59.114902,5.001844,11a,NA,NOR
3.3928733,59.115295,44.250079,11a,NA,NOR
3.3928733,59.115295,44.250079,11a,NA,NOR
3.551255,59.119556,0.342166,11a,NA,NOR
3.551255,59.119556,0.342166,11a,NA,NOR
3.561235,59.113575,63.286031,11a,NA,NOR
3.561235,59.113575,63.286031,11a,NA,NOR
3.679877,59.11565,145.012916,11a,NA,NOR
3.679877,59.11565,145.012916,11a,NA,NOR
3.8361316,59.112545,0,11a,NA,NOR
3.8361316,59.112545,0,11a,NA,NOR
3.969258,59.11351,11.741568,11a,NA,NOR
3.969258,59.11351,11.741568,11a,NA,NOR
4.130882,59.11509,0,11a,NA,NOR
4.130882,59.11509,0,11a,NA,NOR
4.292538,59.112587,6.098015,11a,NA,NOR
4.292538,59.112587,6.098015,11a,NA,NOR
4.45423,59.10925,2.949724,11a,NA,NOR
4.45423,59.10925,2.949724,11a,NA,NOR
4.6151,59.106747,101.617569,11a,NA,NOR
4.6151,59.106747,101.617569,11a,NA,NOR
4.747638,59.107708,0,11a,NA,NOR
4.747638,59.107708,0,11a,NA,NOR
4.909446,59.10673,5.115779,11a,NA,NOR
4.909446,59.10673,5.115779,11a,NA,NOR
10.94339,58.36871,4592.41035,31,26D4201806,DK
10.94339,58.36871,4592.41035,31,26D4201806,DK
10.81607,58.36771,66.13786,31,26D4201806,DK
10.81607,58.36771,66.13786,31,26D4201806,DK
10.72034,58.36749,123.54813,31,26D4201806,DK
10.72034,58.36749,123.54813,31,26D4201806,DK
10.56132,58.36472,74.18824,31,26D4201806,DK
10.56132,58.36472,74.18824,31,26D4201806,DK
10.4022,58.36224,26.24477,31,26D4201806,DK
10.4022,58.36224,26.24477,31,26D4201806,DK
4.930578,59.681507,0,11b,NA,NOR
4.930578,59.681507,0,11b,NA,NOR
4.793495,59.676483,11.006985,11b,NA,NOR
4.793495,59.676483,11.006985,11b,NA,NOR
4.6293836,59.675255,7.004067,11b,NA,NOR
4.6293836,59.675255,7.004067,11b,NA,NOR
4.4655685,59.68093,0,11b,NA,NOR
4.4655685,59.68093,0,11b,NA,NOR
4.3016334,59.683685,13.000302,11b,NA,NOR
4.3016334,59.683685,13.000302,11b,NA,NOR
4.137328,59.68225,6.498289,11b,NA,NOR
4.137328,59.68225,6.498289,11b,NA,NOR
3.9729383,59.681927,0,11b,NA,NOR
3.9729383,59.681927,0,11b,NA,NOR
3.809341,59.685467,237.959934,11b,NA,NOR
3.809341,59.685467,237.959934,11b,NA,NOR
3.6462834,59.682198,579.938587,11b,NA,NOR
3.6462834,59.682198,579.938587,11b,NA,NOR
3.4821358,59.686844,177.84057,11b,NA,NOR
3.4821358,59.686844,177.84057,11b,NA,NOR
3.3178518,59.68989,69.856851,11b,NA,NOR
3.3178518,59.68989,69.856851,11b,NA,NOR
3.2551386,59.682217,134.364989,11b,NA,NOR
3.2551386,59.682217,134.364989,11b,NA,NOR
3.1815505,59.683678,0,11b,NA,NOR
3.1815505,59.683678,0,11b,NA,NOR
3.1657283,59.68534,0,11b,NA,NOR
3.1657283,59.68534,0,11b,NA,NOR
3.0605288,59.68446,0,11b,NA,NOR
3.0605288,59.68446,0,11b,NA,NOR
2.8962433,59.682884,0,11b,NA,NOR
2.8962433,59.682884,0,11b,NA,NOR
