ACLON,ACLAT,SPR,STRATUM
11.87735,56.14272,90.25792,na
11.45767,56.14191,7.25928,na
11.60756,56.14291,22.17408,na
11.7574,56.14212,132.2984,na
11.87064,56.3968,99.91854,na
11.71978,56.39734,149.00339,na
12.17213,56.39917,45.15522,na
12.32306,56.39985,23.82632,na
11.56896,56.39811,126.6149,na
12.02139,56.39906,106.58596,na
11.44836,56.40069,371.90319,na
8.260487,57.18508,0.93346,na
8.254,57.10158,1.04494,na
7.754889,56.16351,0.14606,na
7.756341,57.01741,0.679892,na
7.755078,56.18029,1.1152,na
7.758354,56.10654,16.59308,na
7.75733,56.26397,2.99989,na
7.75965,57.10112,0.213194,na
7.761002,57.18488,0.839182,na
7.761844,57.26857,0.444169,na
7.756192,56.59882,0.875028,na
7.762359,56.34767,0.597329,na
7.760322,56.43135,0.542,na
7.757854,56.51507,0.389827,na
7.756874,56.02287,13.661208,na
7.755912,56.00952,0.086032,na
7.756384,56.68256,0.458685,na
7.769682,57.3639,1.803102,na
7.767062,57.42834,1.832351,na
7.756619,56.93375,0.3029648,na
7.759095,56.76629,0.525069,na
7.757436,56.84997,0.247531,na
6.764398,56.41702,0.52791,na
6.76621,56.83545,0.751451,na
6.763589,56.91919,0.585385,na
6.763384,56.50073,0.600656,na
6.766268,56.58434,0.802364,na
6.759104,56.01526,0.819163,na
6.764978,56.3333,1.30261,na
6.764659,56.75177,0.65918,na
6.764355,57.0029,1.085588,na
6.758981,57.08652,0.40525,na
6.764294,56.66804,0.32603,na
6.760891,57.20891,4.77688,na
6.760782,57.29264,0.978915,na
6.76057,57.37635,0.540006,na
6.762055,57.15872,0.81397,na
6.765815,56.24957,0.923139,na
6.758926,56.08221,0.706442,na
6.766593,57.45954,0.862485,na
6.762018,56.16591,0.93246,na
6.265061,57.03566,0.380241,na
6.263411,57.11934,0.543945,na
6.268833,57.32644,0.856477,na
6.268948,56.952,1.014017,na
6.26532,57.24264,0.548696,na
6.275153,56.61711,1.593396,na
6.257542,56.05997,1.66446,na
6.269762,56.78459,1.043,na
6.272271,56.70082,0.713781,na
6.264436,56.21777,0.18762,na
6.267718,56.8683,0.522639,na
6.27424,56.53348,2.11551,na
6.267941,56.33407,0.34921,na
6.26652,56.30145,0.85304,na
6.257216,56.08759,0.87224,na
6.272761,57.41019,1.39477,na
6.27381,57.49377,1.11918,na
12.35134,56.63139,111.75461,na
12.05699,56.63016,82.33092,na
12.43939,56.63493,84.85882,na
11.99616,56.63061,352.21569,na
11.84415,56.63258,137.22314,na
11.53232,56.63129,0,na
6.146947,54.65094,1069.99004,na
7.439492,54.64817,0,na
7.577599,54.65091,0,na
7.721153,54.65091,0,na
6.577343,54.65079,1.294,na
6.032089,54.65055,128.29478,na
6.290338,54.651,170.69662,na
6.433849,54.65089,45.67032,na
7.148901,54.65098,160.53559,na
6.720741,54.65082,336.11224,na
6.86417,54.65091,108.47763,na
7.007551,54.65093,0,na
7.292335,54.6507,0.63552,na
6.621243,54.94164,0,na
6.188211,54.9395,0,na
6.33238,54.94197,0,na
6.476817,54.9421,0.25711,na
7.849628,54.94142,1.28709,na
6.048375,54.94205,0,na
6.839044,54.94189,1.927504,na
7.878589,54.94035,0,na
7.272512,54.9422,0.23827,na
7.705311,54.94197,99.86502,na
7.561531,54.94207,2.012,na
7.417067,54.94176,25.99408,na
7.128101,54.94224,4.08066,na
6.983555,54.94241,0.32021,na
7.561472,55.23352,96.3071,na
6.261357,55.23267,0,na
6.115718,55.23313,0,na
7.707046,55.2333,0,na
7.415899,55.23321,3.59281,na
6.406851,55.23325,0,na
7.969084,55.23232,263.03039,na
7.852595,55.23309,0,na
7.156678,55.26905,260.59127,na
7.105403,55.27484,588.93072,na
7.375752,55.23318,0,na
7.28876,55.23487,460.6215,na
6.745576,55.27319,52.6714,na
6.628222,55.23333,0,na
7.010171,55.28779,20.21936,na
6.867487,55.30475,62.20795,na
6.502383,55.23207,0,na
6.043245,55.52587,7.24061,na
7.557374,55.52467,2829.94012,na
7.381513,55.52448,0,na
7.410884,55.52446,6575.69971,na
6.453684,55.52454,0,na
6.600275,55.52431,0,na
6.160523,55.52452,0,na
6.307061,55.52444,0,na
7.001017,55.52608,17.8469,na
7.132904,55.52496,0,na
6.74693,55.52439,0,na
6.893524,55.52481,0,na
7.279665,55.52438,14.86553,na
7.97695,55.81688,363.88288,na
6.123815,55.81536,0,na
6.950925,55.81549,0,na
6.862327,55.81545,0.8002,na
6.714623,55.81541,0,na
6.566946,55.81522,5.15157,na
6.271559,55.81551,0,na
7.447849,55.81533,2402.17224,na
7.891029,55.81562,91.328,na
7.743247,55.81538,0,na
7.477367,55.81565,0,na
6.419318,55.8155,4.39515,na
7.300057,55.81555,826.98943,na
7.152328,55.81536,0,na
7.005711,55.8156,3835.6544,na
4.19387,52.2884,1525.73029,na
2.892057,52.28831,989.58396,na
2.756868,52.2917,11.43296,na
2.633022,52.30885,131.46575,na
3.027711,52.28886,6.88225,na
4.207517,52.28607,342.41508,na
4.059012,52.28878,8978.34851,na
3.993807,52.28864,0,na
3.96669,52.28849,699.88795,na
3.832628,52.2804,164.46582,na
3.702244,52.28901,412.81465,na
3.566517,52.28857,0,na
3.430813,52.28846,0,na
3.299092,52.28938,7.65344,na
3.16346,52.28865,38.04777,na
2.513912,52.33576,113.53611,na
2.389784,52.30321,71.2895,na
