Year,Age,Mio
2006,0,86
2006,1,61.3
2006,2,1451.9
2006,3,653
2007,0,0
2007,1,5611.9
2007,2,323.9
2007,3,382.9
2008,0,0
2008,1,23
2008,2,457.8
2008,3,291.2
2009,0,0
2009,1,169.5
2009,2,432.4
2009,3,1631.9
2010,0,0
2010,1,836.1
2010,2,343.8
2010,3,376.3
2011,0,0
2011,1,45.4
2011,2,546.9
2011,3,981.9
2012,0,0.3
2012,1,123.9
2012,2,290.1
2012,3,1488
2013,0,1.4
2013,1,14.5
2013,2,68.8
2013,3,448.6
2014,0,29.6
2014,1,614.5
2014,2,109.8
2014,3,159.4
2015,0,0.3
2015,1,840.8
2015,2,202
2015,3,342.6
2016,0,0
2016,1,5.4
2016,2,671.2
2016,3,280
2017,0,0
2017,1,11
2017,2,146
2017,3,91
2018,0,98
2018,1,2097
2018,2,1052
2018,3,191
