Year,Age,Mio
1993,1,2
1993,2,579
1993,3,690
1993,4,689
1993,5,565
1993,6,900
1993,7,296
1993,8,158
1993,9,161
1994,1,494
1994,2,542
1994,3,608
1994,4,286
1994,5,307
1994,6,268
1994,7,407
1994,8,174
1994,9,132
1995,1,441
1995,2,1103
1995,3,473
1995,4,450
1995,5,153
1995,6,187
1995,7,169
1995,8,237
1995,9,202
1996,1,41
1996,2,576
1996,3,803
1996,4,329
1996,5,95
1996,6,61
1996,7,77
1996,8,78
1996,9,115
1997,1,792
1997,2,642
1997,3,286
1997,4,167
1997,5,66
1997,6,50
1997,7,16
1997,8,29
1997,9,24
1998,1,1221
1998,2,795
1998,3,667
1998,4,471
1998,5,179
1998,6,79
1998,7,28
1998,8,14
1998,9,37
1999,1,534
1999,2,322
1999,3,1388
1999,4,432
1999,5,308
1999,6,139
1999,7,87
1999,8,28
1999,9,35
2000,1,448
2000,2,316
2000,3,337
2000,4,900
2000,5,393
2000,6,248
2000,7,200
2000,8,95
2000,9,65
2001,1,313
2001,2,1062
2001,3,218
2001,4,173
2001,5,438
2001,6,133
2001,7,103
2001,8,52
2001,9,35
2002,1,425
2002,2,436
2002,3,1437
2002,4,200
2002,5,162
2002,6,424
2002,7,152
2002,8,68
2002,9,60
2003,1,439
2003,2,1039
2003,3,933
2003,4,1472
2003,5,181
2003,6,129
2003,7,347
2003,8,114
2003,9,75
2004,1,564
2004,2,275
2004,3,760
2004,4,442
2004,5,577
2004,6,56
2004,7,62
2004,8,82
2004,9,76
2005,1,50
2005,2,243
2005,3,230
2005,4,423
2005,5,245
2005,6,153
2005,7,13
2005,8,39
2005,9,27
2006,1,112
2006,2,835
2006,3,388
2006,4,285
2006,5,582
2006,6,415
2006,7,227
2006,8,22
2006,9,59
2007,1,0
2007,2,126
2007,3,294
2007,4,203
2007,5,145
2007,6,347
2007,7,243
2007,8,164
2007,9,32
2008,1,48
2008,2,233
2008,3,912
2008,4,669
2008,5,340
2008,6,272
2008,7,721
2008,8,366
2008,9,264
2009,1,346
2009,2,187
2009,3,264
2009,4,430
2009,5,374
2009,6,219
2009,7,187
2009,8,500
2009,9,456
2010,1,425
2010,2,489
2010,3,398
2010,4,150
2010,5,143
2010,6,95
2010,7,63
2010,8,48
2010,9,188
2011,1,22
2011,2,185
2011,3,733
2011,4,451
2011,5,204
2011,6,220
2011,7,199
2011,8,113
2011,9,263
2012,1,792
2012,2,179
2012,3,729
2012,4,471
2012,5,241
2012,6,107
2012,7,107
2012,8,56
2012,9,105
2013,1,0
2013,2,137
2013,3,320
2013,4,600
2013,5,162
2013,6,69
2013,7,61
2013,8,24
2013,9,37
2014,1,1031
2014,2,243
2014,3,218
2014,4,469
2014,5,519
2014,6,143
2014,7,30
2014,8,19
2014,9,11
2015,1,0
2015,2,122
2015,3,325
2015,4,650
2015,5,378
2015,6,442
2015,7,83
2015,8,23
2015,9,2
2016,1,0
2016,2,30
2016,3,108
2016,4,88
2016,5,112
2016,6,79
2016,7,62
2016,8,6
2016,9,1
2017,1,0
2017,2,22
2017,3,324
2017,4,144
2017,5,97
2017,6,109
2017,7,44
2017,8,18
2017,9,5
2018,1,964
2018,2,323
2018,3,92
2018,4,331
2018,5,153
2018,6,51
2018,7,72
2018,8,27
2018,9,13
