Cruise,LOG,ACLON,ACLAT,SA,Transect
GER,1,6.032089,54.65055,8.56729,T34
GER,2,6.060818,54.65077,1.21983,T34
GER,3,6.089558,54.65091,6.88743,T34
GER,4,6.118261,54.65093,1.06482,T34
GER,5,6.146947,54.65094,1.93343,T34
GER,6,6.175626,54.651,1.85079,T34
GER,7,6.204326,54.65104,4.24616,T34
GER,8,6.232994,54.65104,8.62467,T34
GER,9,6.261638,54.651,131.29285,T34
GER,10,6.290338,54.651,13.38674,T34
GER,11,6.319082,54.65093,2.98815,T34
GER,12,6.347803,54.65091,0.021617,T34
GER,13,6.376496,54.65093,0.35931,T34
GER,14,6.40519,54.65091,6.84646,T34
GER,15,6.433849,54.65089,4.57862,T34
GER,16,6.462527,54.65091,0.22359,T34
GER,17,6.491284,54.65098,1.51264,T34
GER,18,6.519979,54.65103,0,T34
GER,19,6.548645,54.65094,0,T34
GER,20,6.577343,54.65079,0,T34
GER,21,6.606014,54.6508,0,T34
GER,22,6.634627,54.65084,0.17892,T34
GER,23,6.66335,54.65084,0,T34
GER,24,6.692033,54.65077,0,T34
GER,25,6.720741,54.65082,5.16899,T34
GER,26,6.749402,54.65089,34.78378,T34
GER,27,6.778096,54.65079,2.01386,T34
GER,28,6.80681,54.65082,0,T34
GER,29,6.835432,54.65081,4.50773,T34
GER,30,6.86417,54.65091,14.49979,T34
GER,31,6.892806,54.6508,0.49945,T34
GER,32,6.921483,54.6509,0,T34
GER,33,6.95017,54.6507,0,T34
GER,34,6.978838,54.65084,0,T34
GER,35,7.007551,54.65093,0,T34
GER,36,7.03626,54.65086,0,T34
GER,37,7.064706,54.65075,0,T34
GER,38,7.091518,54.65086,0,T34
GER,39,7.120257,54.65079,0,T34
GER,40,7.148901,54.65098,0.26607,T34
GER,41,7.177649,54.65093,0.28175,T34
GER,42,7.206324,54.65091,21.64949,T34
GER,43,7.234944,54.65083,0,T34
GER,44,7.263673,54.65086,0,T34
GER,45,7.292335,54.6507,0.087874,T34
GER,46,7.321009,54.65082,0,T34
GER,50,7.439492,54.64817,0,T34
