Year,Age,Mio
2008,1,50
2008,2,276
2008,3,996
2008,4,720
2008,5,363
2008,6,331
2008,7,744
2008,8,386
2008,9,274
2009,1,773
2009,2,265
2009,3,274
2009,4,444
2009,5,380
2009,6,225
2009,7,193
2009,8,500
2009,9,456
2010,1,133
2010,2,375
2010,3,374
2010,4,242
2010,5,173
2010,6,146
2010,7,102
2010,8,100
2010,9,297
2011,1,63
2011,2,257
2011,3,900
2011,4,485
2011,5,213
2011,6,228
2011,7,205
2011,8,113
2011,9,264
2012,1,796
2012,2,548
2012,3,832
2012,4,517
2012,5,249
2012,6,115
2012,7,111
2012,8,57
2012,9,105
2013,1,0
2013,2,209
2013,3,434
2013,4,672
2013,5,195
2013,6,71
2013,7,61
2013,8,29
2013,9,37
2014,1,1012
2014,2,278
2014,3,242
2014,4,502
2014,5,534
2014,6,148
2014,7,33
2014,8,19
2014,9,13
2015,1,0
2015,2,212
2015,3,397
2015,4,747
2015,5,423
2015,6,476
2015,7,90
2015,8,24
2015,9,2
2016,1,0
2016,2,30
2016,3,108
2016,4,88
2016,5,112
2016,6,79
2016,7,62
2016,8,6
2016,9,1
2017,1,0
2017,2,25
2017,3,339
2017,4,155
2017,5,106
2017,6,110
2017,7,47
2017,8,13
2017,9,5
2018,1,1289
2018,2,447
2018,3,106
2018,4,343
2018,5,153
2018,6,52
2018,7,72
2018,8,27
2018,9,13
2019,1,24
2019,2,231
2019,3,225
2019,4,123
2019,5,169
2019,6,95
2019,7,14
2019,8,17
2019,9,21
