Year,Age,Mio
1986,1,1639
1986,2,3206
1986,3,1637
1986,4,833
1986,5,135
1986,6,36
1986,7,24
1986,8,6
1986,9,8
1987,1,13736
1987,2,4303
1987,3,955
1987,4,657
1987,5,368
1987,6,77
1987,7,38
1987,8,11
1987,9,20
1988,1,6431
1988,2,4202
1988,3,1732
1988,4,528
1988,5,349
1988,6,174
1988,7,43
1988,8,23
1988,9,14
1989,1,6333
1989,2,3726
1989,3,3751
1989,4,1612
1989,5,488
1989,6,281
1989,7,120
1989,8,44
1989,9,22
1990,1,6249
1990,2,2971
1990,3,3530
1990,4,3370
1990,5,1349
1990,6,395
1990,7,211
1990,8,134
1990,9,43
1991,1,3182
1991,2,2834
1991,3,1501
1991,4,2102
1991,5,1984
1991,6,748
1991,7,262
1991,8,112
1991,9,56
1992,1,6351
1992,2,4179
1992,3,1633
1992,4,1397
1992,5,1510
1992,6,1311
1992,7,474
1992,8,155
1992,9,163
1993,1,10399
1993,2,3710
1993,3,1855
1993,4,909
1993,5,795
1993,6,788
1993,7,546
1993,8,178
1993,9,116
1994,1,3646
1994,2,3280
1994,3,957
1994,4,429
1994,5,363
1994,6,321
1994,7,238
1994,8,220
1994,9,132
1995,1,4202
1995,2,3799
1995,3,2056
1995,4,656
1995,5,272
1995,6,175
1995,7,135
1995,8,110
1995,9,84
1996,1,6198
1996,2,4557
1996,3,2824
1996,4,1087
1996,5,311
1996,6,99
1996,7,83
1996,8,133
1996,9,206
1997,1,9416
1997,2,6363
1997,3,3287
1997,4,1696
1997,5,692
1997,6,259
1997,7,79
1997,8,78
1997,9,158
1998,1,4449
1998,2,5747
1998,3,2520
1998,4,1625
1998,5,982
1998,6,445
1998,7,170
1998,8,45
1998,9,121
1999,1,5087
1999,2,3078
1999,3,4725
1999,4,1116
1999,5,506
1999,6,314
1999,7,139
1999,8,54
1999,9,87
2000,1,24735
2000,2,2922
2000,3,2156
2000,4,3139
2000,5,1006
2000,6,483
2000,7,266
2000,8,120
2000,9,97
2001,1,6837
2001,2,12290
2001,3,3083
2001,4,1462
2001,5,1676
2001,6,450
2001,7,170
2001,8,98
2001,9,59
2002,1,23055
2002,2,4875
2002,3,8220
2002,4,1390
2002,5,795
2002,6,1031
2002,7,244
2002,8,121
2002,9,150
2003,1,9829
2003,2,18949
2003,3,3081
2003,4,4189
2003,5,675
2003,6,495
2003,7,568
2003,8,146
2003,9,178
2004,1,5183
2004,2,3415
2004,3,9191
2004,4,2167
2004,5,2590
2004,6,317
2004,7,328
2004,8,342
2004,9,186
2005,1,3113
2005,2,1890
2005,3,3436
2005,4,5609
2005,5,1211
2005,6,1172
2005,7,140
2005,8,127
2005,9,107
2006,1,6823
2006,2,3772
2006,3,1997
2006,4,2098
2006,5,4175
2006,6,618
2006,7,562
2006,8,84
2006,9,70
2007,1,6261
2007,2,2750
2007,3,1848
2007,4,898
2007,5,806
2007,6,1323
2007,7,243
2007,8,152
2007,9,65
2008,1,3714
2008,2,2853
2008,3,1709
2008,4,1485
2008,5,809
2008,6,712
2008,7,1749
2008,8,185
2008,9,270
2009,1,4655
2009,2,5632
2009,3,2553
2009,4,1023
2009,5,1077
2009,6,674
2009,7,638
2009,8,1142
2009,9,578
2010,1,14577
2010,2,4237
2010,3,4216
2010,4,2453
2010,5,1246
2010,6,1332
2010,7,688
2010,8,1110
2010,9,1619
2011,1,10119
2011,2,4166
2011,3,2534
2011,4,2173
2011,5,1016
2011,6,651
2011,7,688
2011,8,440
2011,9,1207
2012,1,7437
2012,2,4718
2012,3,4067
2012,4,1738
2012,5,1209
2012,6,593
2012,7,247
2012,8,218
2012,9,478
2013,1,6388
2013,2,2683
2013,3,3031
2013,4,2895
2013,5,1546
2013,6,849
2013,7,464
2013,8,250
2013,9,592
2014,1,11634
2014,2,4918
2014,3,2827
2014,4,2939
2014,5,1791
2014,6,1236
2014,7,669
2014,8,211
2014,9,250
2015,1,6714
2015,2,9495
2015,3,2831
2015,4,1591
2015,5,1549
2015,6,926
2015,7,520
2015,8,275
2015,9,221
2016,1,9034
2016,2,12011
2016,3,5832
2016,4,1273
2016,5,822
2016,6,909
2016,7,395
2016,8,220
2016,9,146
2017,1,3054
2017,2,1761
2017,3,6095
2017,4,3142
2017,5,787
2017,6,365
2017,7,298
2017,8,153
2017,9,140
2018,1,9938
2018,2,4254
2018,3,1692
2018,4,5150
2018,5,2440
2018,6,719
2018,7,529
2018,8,293
2018,9,111
2019,1,10146.00
2019,2,1303.00
2019,3,2345.00
2019,4,1212.00
2019,5,3506.00
2019,6,1657.00
2019,7,395.00
2019,8,252.00
2019,9,172.00
