Year,Age,Mio
2004,0,17401
2004,1,28940
2004,2,5312
2004,3,367
2005,0,0
2005,1,69798
2005,2,2526
2005,3,350
2006,0,0
2006,1,21862
2006,2,19916
2006,3,760
2007,0,0
2007,1,37250
2007,2,5513
2007,3,1869
2008,0,0
2008,1,17165
2008,2,7410
2008,3,549
2009,0,0
2009,1,47520
2009,2,16488
2009,3,1183
2010,0,1991
2010,1,19492
2010,2,13743
2010,3,798
2011,0,0
2011,1,26536
2011,2,13660
2011,3,2430
2012,0,7807
2012,1,21912
2012,2,12541
2012,3,3205
2013,0,454
2013,1,9332
2013,2,6273
2013,3,1600
2014,0,5828
2014,1,58405
2014,2,20164
2014,3,3823
2015,0,198
2015,1,26241
2015,2,22474
2015,3,9799
2016,0,24792
2016,1,58599
2016,2,33318
2016,3,7880
2017,0,2941
2017,1,38124
2017,2,3518
2017,3,1374
2018,0,3409
2018,1,107083
2018,2,9061
2018,3,588
2019,0,52950
2019,1,32495
2019,2,44933
2019,3,4254
