Year,Age,Mio
1992,1,277
1992,2,2092
1992,3,1799
1992,4,1593
1992,5,556
1992,6,197
1992,7,122
1992,8,20
1993,1,103
1993,2,2768
1993,3,1274
1993,4,598
1993,5,434
1993,6,154
1993,7,63
1993,8,13
1994,1,5
1994,2,413
1994,3,935
1994,4,501
1994,5,239
1994,6,186
1994,7,62
1994,8,34
1995,1,2199
1995,2,1887
1995,3,1022
1995,4,1270
1995,5,255
1995,6,174
1995,7,39
1995,8,21
1996,1,1091
1996,2,1005
1996,3,247
1996,4,141
1996,5,119
1996,6,37
1996,7,20
1996,8,13
1997,1,128
1997,2,715
1997,3,787
1997,4,166
1997,5,67
1997,6,69
1997,7,80
1997,8,77
1998,1,138
1998,2,1682
1998,3,901
1998,4,282
1998,5,111
1998,6,51
1998,7,31
1998,8,53
1999,1,1367
1999,2,1143
1999,3,523
1999,4,135
1999,5,28
1999,6,3
1999,7,2
1999,8,1
2000,1,1509
2000,2,1891
2000,3,674
2000,4,364
2000,5,186
2000,6,56
2000,7,7
2000,8,10
2001,1,66
2001,2,641
2001,3,452
2001,4,153
2001,5,96
2001,6,38
2001,7,23
2001,8,12
2002,1,3346
2002,2,1576
2002,3,1392
2002,4,524
2002,5,88
2002,6,40
2002,7,18
2002,8,19
2003,1,1833
2003,2,1110
2003,3,395
2003,4,323
2003,5,103
2003,6,25
2003,7,12
2003,8,5
2004,1,1668
2004,2,930
2004,3,726
2004,4,307
2004,5,184
2004,6,72
2004,7,22
2004,8,18
2005,1,2687
2005,2,1342
2005,3,464
2005,4,201
2005,5,103
2005,6,84
2005,7,37
2005,8,21
2006,1,2081
2006,2,2217
2006,3,1780
2006,4,490
2006,5,180
2006,6,27
2006,7,10
2006,8,0.1
2007,1,3918
2007,2,3621
2007,3,933
2007,4,499
2007,5,154
2007,6,34
2007,7,26
2007,8,14
2008,1,5852
2008,2,1160
2008,3,843
2008,4,333
2008,5,274
2008,6,176
2008,7,45
2008,8,44
2009,1,565
2009,2,398
2009,3,205
2009,4,161
2009,5,82
2009,6,85
2009,7,39
2009,8,65
2010,1,999
2010,2,511
2010,3,254
2010,4,115
2010,5,65
2010,6,24
2010,7,28
2010,8,34
2011,1,2980
2011,2,473
2011,3,259
2011,4,163
2011,5,70
2011,6,53
2011,7,22
2011,8,46
2012,1,1018
2012,2,1081
2012,3,236
2012,4,87
2012,5,76
2012,6,33
2012,7,14
2012,8,60
2013,1,49
2013,2,627
2013,3,525
2013,4,53
2013,5,30
2013,6,12
2013,7,8
2013,8,15
2014,1,513
2014,2,415
2014,3,176
2014,4,248
2014,5,28
2014,6,37
2014,7,26
2014,8,42
2015,1,1949
2015,2,1244
2015,3,446
2015,4,224
2015,5,171
2015,6,82
2015,7,89
2015,8,115
2016,1,425
2016,2,255
2016,3,381
2016,4,99
2016,5,40
2016,6,40
2016,7,12
2016,8,28
2017,1,696
2017,2,424
2017,3,661
2017,4,401
2017,5,94
2017,6,53
2017,7,52
2017,8,92
2018,1,106
2018,2,224
2018,3,271
2018,4,175
2018,5,169
2018,6,50
2018,7,35
2018,8,44
2019,1,418
2019,2,591
2019,3,315
2019,4,109
2019,5,67
2019,6,52
2019,7,19
2019,8,13
