"strata","length","age","maturity","stock","number","biomass_g","meanW_g"
31,19,2,"-","-",5387330.2447,339401805.4161,63
31,22.5,3,"-","-",1395800.4915,117247241.286,84
41,22.5,3,"-","-",292149.251,24540537.084,84
21,7,0,"IMM","-",333640.7124,667281.4248,2
21,7.5,0,"IMM","-",805204.9143,1610409.8286,2
21,8,0,"IMM","-",2371101.2532,6520528.4463,2.75
21,8.5,0,"IMM","-",40956631.0956,193406313.507,4.72222222222222
31,8.5,0,"IMM","-",720147.276,2160441.828,3
41,8.5,0,"IMM","-",95153.9657,285461.8971,3
21,9,0,"IMM","-",57437027.475,344622164.85,6
21,9.5,0,"IMM","-",48955809.483,293734856.898,6
31,9.5,0,"IMM","-",192039.2736,912186.5496,4.75
21,10.5,0,"IMM","-",16450351.5967,131602812.7736,8
21,11,0,"IMM","-",7050150.6843,56401205.4744,8
21,13.5,0,"IMM","-",513814.5578,7707218.367,15
31,10.5,1,"IMM","-",619562.2372,18586867.116,30
21,13,1,"IMM","-",502308.0043,8539236.0731,17
71,13,1,"IMM","-",78751.7184,1095141.084,13.90625
151,13,1,"IMM","-",4634628.7072,65029634.0479,14.03125
71,13.5,1,"IMM","-",20442.7769,408855.538,20
151,13.5,1,"IMM","-",780576.2885,15611525.77,20
21,14,1,"IMM","-",449377.8876,8538179.8644,19
42,14,1,"IMM","-",2606553.369,52131067.38,20
71,14,1,"IMM","-",77264.615,1614830.4535,20.9
151,14,1,"IMM","-",7134884.984,148048863.418,20.75
42,14.5,1,"IMM","-",359412.4802,7188249.604,20
71,14.5,1,"IMM","-",30233.3199,634899.7179,21
151,14.5,1,"IMM","-",2757888.8638,57915666.1398,21
71,15,1,"IMM","-",28727.421,652390.464,22.7096774193548
151,15,1,"IMM","-",6262841.3168,138519313.8304,22.1176470588235
21,15.5,1,"IMM","-",454412.7098,11360317.745,25
21,16,1,"IMM","-",938848.3772,26757178.7502,28.5
42,16,1,"IMM","-",309809.5237,10533523.8058,34
21,16.5,1,"IMM","-",308145.6634,9552515.5654,31
41,16.5,1,"IMM","-",198372.8036,7339793.7332,37
151,16.5,1,"IMM","-",140309.6848,5191458.3376,37
152,16.5,1,"IMM","-",267417.3366,9894441.4542,37
21,17,1,"IMM","-",1284207.7239,43234993.3713,33.6666666666667
31,17,1,"IMM","-",4301569.29,162025776.59,37.6666666666667
21,17.5,1,"IMM","-",5041516.5472,190632344.441,37.8125
41,17.5,1,"IMM","-",639936.1,27389265.08,42.8
42,17.5,1,"IMM","-",5380367.1402,231355787.0286,43
151,17.5,1,"IMM","-",455485.4426,20269102.1957,44.5
152,17.5,1,"IMM","-",901023.0498,38443650.1248,42.6666666666667
21,18,1,"IMM","-",2113352.6748,82420754.3172,39
31,18.5,1,"IMM","-",2967698.416,136514127.136,46
41,18.5,1,"IMM","-",837577.3712,39994319.4748,47.75
151,18.5,1,"IMM","-",165088.4589,7428980.6505,45
152,18.5,1,"IMM","-",516950.677,22745829.788,44
21,19,1,"IMM","-",512995.803,24110802.741,47
31,19,1,"IMM","-",3169017.791,186972049.669,59
41,19,1,"IMM","-",393305.05,21730104.0125,55.25
42,19,1,"IMM","-",175994.4933,10031686.1181,57
151,19,1,"IMM","-",379483.1196,21251054.6976,56
152,19,1,"IMM","-",947943.5552,51188951.9808,54
31,19.5,1,"IMM","-",11661272.3605,604720266.6945,51.8571428571429
41,19.5,1,"IMM","-",575972.2032,32830415.5824,57
42,19.5,1,"IMM","-",613012.6071,34941718.6047,57
152,19.5,1,"IMM","-",2073561.5472,118193008.1904,57
31,20,1,"IMM","-",9868246.7184,629453165.6808,63.7857142857143
41,20,1,"IMM","-",1814604.2063,113466133.6057,62.5294117647059
42,20,1,"IMM","-",2718083.488,162745248.844,59.875
151,20,1,"IMM","-",190744.6521,13542870.2991,71
152,20,1,"IMM","-",249611.005,17722381.355,71
21,20.5,1,"IMM","-",258270.4147,16012765.7114,62
31,20.5,1,"IMM","-",7017727.7394,453033312.9546,64.5555555555556
41,20.5,1,"IMM","-",2746678.2045,191789791.149,69.8260869565217
42,20.5,1,"IMM","-",2974895.5808,210102000.394,70.625
151,20.5,1,"IMM","-",492301.419,35445702.168,72
152,20.5,1,"IMM","-",1271475.3445,91546224.804,72
31,21,1,"IMM","-",6816287.2954,478342984.9066,70.1764705882353
42,21,1,"IMM","-",2066571.8364,146726600.3844,71
31,22,1,"IMM","-",2245289.8135,161660866.572,72
42,22,1,"IMM","-",3403109.5662,336907847.0538,99
151,19.5,2,"IMM","-",124855.5701,5743356.2246,46
21,20,2,"IMM","-",261947.7859,13621284.8668,52
31,20,2,"IMM","-",4581685.9764,233665984.7964,51
42,20.5,2,"IMM","-",557792.9214,39045504.498,70
31,21,2,"IMM","-",4009580.762,272651491.816,68
