strata,length,age,maturity,stock,number,biomass_g,meanW_g
21,7,0,IMM,her-47d3,333640.7124,667281.4248,2
21,7.5,0,IMM,her-47d3,805204.9143,1610409.829,2
21,8,0,IMM,her-47d3,2371101.253,6520528.446,2.75
21,8.5,0,IMM,her-47d3,40956631.1,193406313.5,4.722222222
21,9,0,IMM,her-47d3,57437027.48,344622164.9,6
21,9.5,0,IMM,her-47d3,48955809.48,293734856.9,6
21,10.5,0,IMM,her-47d3,16450351.6,131602812.8,8
21,11,0,IMM,her-47d3,7050150.684,56401205.47,8
21,13.5,0,IMM,her-47d3,513814.5578,7707218.367,15
21,13,1,IMM,her-47d3,502308.0043,8539236.073,17
21,14,1,IMM,her-47d3,449377.8876,8538179.864,19
21,15.5,1,IMM,her-47d3,454412.7098,11360317.75,25
21,16,1,IMM,her-47d3,938848.3772,26757178.75,28.5
21,16.5,1,IMM,her-47d3,308145.6634,9552515.565,31
21,17,1,IMM,her-47d3,1284207.724,43234993.37,33.66666667
21,17.5,1,IMM,her-3a22,5041516.547,190632344.4,37.8125
21,18,1,IMM,her-3a22,2113352.675,82420754.32,39
21,19,1,IMM,her-3a22,512995.803,24110802.74,47
21,20.5,1,IMM,her-47d3,258270.4147,16012765.71,62
21,20,2,IMM,her-3a22,261947.7859,13621284.87,52
21,21.5,2,IMM,her-3a22,2863716.571,200460160,70
21,22.5,2,IMM,her-3a22,357273.5737,27510065.17,77
21,19.5,3,IMM,her-3a22,546281.7614,31684342.16,58
21,22.5,3,IMM,her-3a22,1429094.295,118614826.5,83
21,21,5,IMM,her-3a22,323527.531,18117541.74,56
21,20.5,6,IMM,her-3a22,1291352.074,69733011.97,54
21,19,2,MAT,her-3a22,512995.803,22058819.53,43
21,21,2,MAT,her-3a22,3558802.841,266910213.1,75
21,22,2,MAT,her-3a22,727952.3884,52776548.16,72.5
21,22.5,2,MAT,her-3a22,357273.5737,31440074.49,88
21,21,3,MAT,her-3a22,970582.593,50470294.84,52
21,19.5,5,MAT,her-3a22,273140.8807,11745057.87,43
21,15,1,-,her-3a22,316842.7184,6970539.805,22
21,8.5,0,IMM,her-3a22,2275368.394,9101473.577,4
21,11.5,1,IMM,her-3a22,9400200.912,94002009.12,10
21,12,1,IMM,her-3a22,1134439.915,14180498.94,12.5
21,12.5,1,IMM,her-3a22,496572.0229,7448580.344,15
21,13,1,IMM,her-3a22,2009232.017,28631556.25,14.25
21,13.5,1,IMM,her-3a22,7707218.367,132564155.9,17.2
21,14,1,IMM,her-3a22,14380092.4,273221755.7,19
21,14.5,1,IMM,her-3a22,6119123.897,126618794.5,20.69230769
21,15,1,IMM,her-3a22,6970539.805,172679281.5,24.77272727
21,15.5,1,IMM,her-3a22,2953682.614,78840605.15,26.69230769
21,16,1,IMM,her-3a22,4694241.886,127448667.2,27.15
21,16.5,1,IMM,her-3a22,11401389.55,347434235.5,30.47297297
21,17,1,IMM,her-3a22,19263115.86,652520213.5,33.87407407
21,17.5,1,IMM,her-3a22,56086871.59,2018024545,35.98033708
21,18,1,IMM,her-3a22,45437082.51,1717979612,37.81007752
21,18.5,1,IMM,her-3a22,26647885.83,1145125663,42.97247706
21,19,1,IMM,her-3a22,11542405.57,510943819.8,44.26666667
21,19.5,1,IMM,her-3a22,3277690.568,162245683.1,49.5
21,20,1,IMM,her-3a22,1833634.501,91943672.85,50.14285714
21,20.5,1,IMM,her-3a22,516540.8294,32542072.25,63
21,16.5,2,IMM,her-3a22,154072.8317,4622184.951,30
21,17,2,IMM,her-3a22,285379.4942,9417523.309,33
21,18,2,IMM,her-3a22,4050592.627,154098632.5,38.04347826
21,18.5,2,IMM,her-3a22,2933712.202,134461809.2,45.83333333
