station	Species	catch.wei
306	Sprat	2.156
306	Herring	5.669
307	Sprat	1.96
307	Herring	18.66
308	Sprat	0.095
309	Sprat	0.088
313	Herring	0.104
315	Herring	0.002
317	Herring	1.796
318	Herring	1.193
321	Herring	15.725
322	Herring	2.296
325	Herring	0.597
326	Herring	4.214
329	Herring	0.561
333	Herring	307.64
334	Herring	445.848
335	Herring	135.57
336	Herring	298.08
340	Herring	0.523
344	Herring	986.74
347	Herring	0.498
348	Herring	0.475
351	Herring	1267
353	Herring	0.572
356	Herring	0.39
357	Herring	0.243
359	Herring	29.42
360	Herring	9.828
361	Herring	3.672
365	Herring	7.84
366	Herring	130.72
367	Herring	2.628
369	Herring	10.996
372	Herring	12.308
373	Herring	9000
379	Herring	107.16
380	Herring	9.307
