"Stratum","Transect","FID","SA","ID","Cruise","LOG","longitude","latitude","Mat_Perc","Imm_Perc","multiplier","MAT","IMM"
"11a","T10","T10_341",0,"2018207_1705.0",2018207,"1705.0",4.5084515,59.36047,0.888805093383054,0.111194906616946,20252.9023550608,0,0
"11a","T10","T10_342",0,"2018207_1710.0",2018207,"1710.0",4.3455687,59.36082,0.888805093383054,0.111194906616946,20252.9023550608,0,0
"11a","T10","T10_339",0,"2018207_1697.5",2018207,"1697.5",4.7526884,59.358643,0.888805093383054,0.111194906616946,20252.9023550608,0,0
"11a","T10","T10_340",0,"2018207_1700.0",2018207,"1700.0",4.6712666,59.35832,0.888805093383054,0.111194906616946,20252.9023550608,0,0
"11a","T10","T10_345",0,"2018207_1725.0",2018207,"1725.0",3.85709,59.363464,0.888805093383054,0.111194906616946,20252.9023550608,0,0
"11a","T10","T10_347",23.673501,"2018207_1735.6",2018207,"1735.6",3.693925,59.366066,0.888805093383054,0.111194906616946,20252.9023550608,0.426143916232039,0.0533131879233946
"11a","T10","T10_343",0,"2018207_1715.0",2018207,"1715.0",4.1827445,59.363403,0.888805093383054,0.111194906616946,20252.9023550608,0,0
"11a","T10","T10_344",0,"2018207_1720.0",2018207,"1720.0",4.020008,59.363243,0.888805093383054,0.111194906616946,20252.9023550608,0,0
"11a","T11","T11_318",4.633857,"2018207_1593.2",2018207,"1593.2",2.6091816,59.11075,0.919738326460892,0.080261673539108,20252.9023550608,0.086316571266518,0.00753248208179678
"11a","T11","T11_319",17.202893,"2018207_1595.0",2018207,"1595.0",2.6670418,59.11075,0.919738326460892,0.080261673539108,20252.9023550608,0.320444661892843,0.0279638502607152
"11a","T11","T11_320",10.972124,"2018207_1601.1",2018207,"1601.1",2.8009818,59.112743,0.919738326460892,0.080261673539108,20252.9023550608,0.204381819117654,0.0178355368819651
"11a","T11","T11_321",85.771906,"2018207_1605.0",2018207,"1605.0",2.9266977,59.114567,0.919738326460892,0.080261673539108,20252.9023550608,1.59770507309873,0.139424963926715
"11a","T11","T11_322",34.796532,"2018207_1610.0",2018207,"1610.0",3.0884466,59.11592,0.919738326460892,0.080261673539108,20252.9023550608,0.64816789430612,0.056562870584627
"11a","T11","T11_323",0.561683,"2018207_1619.7",2018207,"1619.7",3.22385,59.112877,0.919738326460892,0.080261673539108,20252.9023550608,0.0104626773546727,0.000913033598824879
"11a","T11","T11_324",5.001844,"2018207_1620.0",2018207,"1620.0",3.23122,59.114902,0.919738326460892,0.080261673539108,20252.9023550608,0.0931712014613324,0.0081306566659141
"11a","T11","T11_325",44.250079,"2018207_1625.0",2018207,"1625.0",3.3928733,59.115295,0.919738326460892,0.080261673539108,20252.9023550608,0.824262616984631,0.0719299122060935
"11a","T11","T11_326",0.342166,"2018207_1630.0",2018207,"1630.0",3.551255,59.119556,0.919738326460892,0.080261673539108,20252.9023550608,0.00637365286066864,0.00055620172655308
"11a","T11","T11_327",63.286031,"2018207_1636.3",2018207,"1636.3",3.561235,59.113575,0.919738326460892,0.080261673539108,20252.9023550608,1.17885234805186,0.102873458230484
"11a","T11","T11_328",145.012916,"2018207_1640.0",2018207,"1640.0",3.679877,59.11565,0.919738326460892,0.080261673539108,20252.9023550608,2.70120931623043,0.235723111740198
"11a","T11","T11_329",0,"2018207_1645.0",2018207,"1645.0",3.8361316,59.112545,0.919738326460892,0.080261673539108,20252.9023550608,0,0
"11a","T11","T11_330",11.741568,"2018207_1650.0",2018207,"1650.0",3.969258,59.11351,0.919738326460892,0.080261673539108,20252.9023550608,0.21871453759852,0.0190862926007856
"11a","T11","T11_331",0,"2018207_1655.0",2018207,"1655.0",4.130882,59.11509,0.919738326460892,0.080261673539108,20252.9023550608,0,0
"11a","T11","T11_332",6.098015,"2018207_1660.0",2018207,"1660.0",4.292538,59.112587,0.919738326460892,0.080261673539108,20252.9023550608,0.11358998482944,0.00991251752525552
"11a","T11","T11_333",2.949724,"2018207_1665.0",2018207,"1665.0",4.45423,59.10925,0.919738326460892,0.080261673539108,20252.9023550608,0.0549456018738944,0.00479487027248487
"11a","T11","T11_334",101.617569,"2018207_1670.0",2018207,"1670.0",4.6151,59.106747,0.919738326460892,0.080261673539108,20252.9023550608,1.89286810890341,0.165182593612243
"11a","T11","T11_335",0,"2018207_1675.0",2018207,"1675.0",4.747638,59.107708,0.919738326460892,0.080261673539108,20252.9023550608,0,0
"11a","T11","T11_336",5.115779,"2018207_1680.0",2018207,"1680.0",4.909446,59.10673,0.919738326460892,0.080261673539108,20252.9023550608,0.095293510921303,0.0083158616357674
"11a","T10","T10_355",35.536567,"2018207_1775.0",2018207,"1775.0",2.58404,59.360344,0.888805093383054,0.111194906616946,20252.9023550608,0.639689576578565,0.0800290449065097
"11a","T10","T10_356",14.150158,"2018207_1780.0",2018207,"1780.0",2.4212117,59.35998,0.888805093383054,0.111194906616946,20252.9023550608,0.25471533532037,0.031866432962312
"11a","T10","T10_357",1.499687,"2018207_1785.0",2018207,"1785.0",2.2584207,59.35939,0.888805093383054,0.111194906616946,20252.9023550608,0.0269956898771448,0.0033773244970092
"11a","T10","T10_358",135.841152,"2018207_1790.0",2018207,"1790.0",2.0956233,59.358746,0.888805093383054,0.111194906616946,20252.9023550608,2.44526065235352,0.30591693490145
"11a","T11","T11_314",24.662371,"2018207_1570.1",2018207,"1570.1",1.9981433,59.10587,0.919738326460892,0.080261673539108,20252.9023550608,0.459395122469858,0.0400894692374246
"11a","T11","T11_315",18.999554,"2018207_1575.0",2018207,"1575.0",2.1559684,59.109795,0.919738326460892,0.080261673539108,20252.9023550608,0.353911732035118,0.0308843799165857
"11a","T10","T10_348",283.678505,"2018207_1740.0",2018207,"1740.0",3.5512602,59.364925,0.888805093383054,0.111194906616946,20252.9023550608,5.10646351258101,0.638849549413609
"11a","T10","T10_349",14.503141,"2018207_1745.0",2018207,"1745.0",3.3885374,59.36552,0.888805093383054,0.111194906616946,20252.9023550608,0.261069340922808,0.0326613575918699
"11a","T10","T10_350",22.580752,"2018207_1751.4",2018207,"1751.4",3.3442883,59.365974,0.888805093383054,0.111194906616946,20252.9023550608,0.406473469587132,0.0508522957727109
"11a","T10","T10_351",444.44501,"2018207_1755.0",2018207,"1755.0",3.2271633,59.36427,0.888805093383054,0.111194906616946,20252.9023550608,8.00040252226266,1.00089886746134
"11a","T10","T10_352",79.521799,"2018207_1760.0",2018207,"1760.0",3.065875,59.360554,0.888805093383054,0.111194906616946,20252.9023550608,1.43146258137641,0.179084648869359
"11a","T10","T10_353",7.999746,"2018207_1765.0",2018207,"1765.0",2.90962,59.364353,0.888805093383054,0.111194906616946,20252.9023550608,0.144002489927518,0.0180155846757699
"11a","T10","T10_354",33.026766,"2018207_1770.0",2018207,"1770.0",2.7468383,59.36195,0.888805093383054,0.111194906616946,20252.9023550608,0.594510943004127,0.0743769238973136
"11a","T11","T11_316",1.999811,"2018207_1580.0",2018207,"1580.0",2.3176816,59.10832,0.919738326460892,0.080261673539108,20252.9023550608,0.037251220463011,0.00325075644856544
"11a","T11","T11_317",6.463796,"2018207_1585.0",2018207,"1585.0",2.4793067,59.110973,0.919738326460892,0.080261673539108,20252.9023550608,0.120403523044892,0.0105071061861403
"11b","T12","T12_393",0,"2018207_1965.7",2018207,"1965.7",4.930578,59.681507,0.811212233396213,0.188787766603787,27873.6348049044,0,0
"11b","T12","T12_394",11.006985,"2018207_1970.0",2018207,"1970.0",4.793495,59.676483,0.811212233396213,0.188787766603787,27873.6348049044,0.248883709835824,0.0579209703572371
"11b","T12","T12_397",13.000302,"2018207_1985.0",2018207,"1985.0",4.3016334,59.683685,0.811212233396213,0.188787766603787,27873.6348049044,0.29395546471137,0.0684102055900985
"11b","T12","T12_398",6.498289,"2018207_1990.0",2018207,"1990.0",4.137328,59.68225,0.811212233396213,0.188787766603787,27873.6348049044,0.146935629866428,0.0341953045762995
"11b","T12","T12_395",7.004067,"2018207_1975.0",2018207,"1975.0",4.6293836,59.675255,0.811212233396213,0.188787766603787,27873.6348049044,0.158371995500918,0.0368568102061648
"11b","T12","T12_396",0,"2018207_1980.0",2018207,"1980.0",4.4655685,59.68093,0.811212233396213,0.188787766603787,27873.6348049044,0,0
"11b","T14","T14_462",2128.767802,"2018207_2310.0",2018207,"2310.0",2.1516778,60.30183,0.986648288518652,0.0133517114813476,27873.6348049044,58.5442525185103,0.792243778876763
"11b","T15","T15_468",0,"2018207_2342.3",2018207,"2342.3",2.0011017,60.611553,0.978458283548276,0.0215417164517244,27873.6348049044,0,0
"11b","T15","T15_469",29.974397,"2018207_2345.0",2018207,"2345.0",2.091045,60.613914,0.978458283548276,0.0215417164517244,27873.6348049044,0.817497390569174,0.0179980049060486
"11b","T15","T15_470",38.753869,"2018207_2350.0",2018207,"2350.0",2.25962,60.616577,0.978458283548276,0.0215417164517244,27873.6348049044,1.05694158858174,0.0232696032013709
"11b","T15","T15_471",43.442513,"2018207_2355.0",2018207,"2355.0",2.402882,60.617443,0.978458283548276,0.0215417164517244,27873.6348049044,1.18481586192601,0.0260848804433023
"11b","T15","T15_472",1.47027,"2018207_2360.0",2018207,"2360.0",2.57194,60.617794,0.978458283548276,0.0215417164517244,27873.6348049044,0.0400989513961578,0.000882817648448976
"11b","T15","T15_473",31.077197,"2018207_2365.4",2018207,"2365.4",2.5911982,60.620483,0.978458283548276,0.0215417164517244,27873.6348049044,0.847574263252207,0.0186601766858642
"11b","T15","T15_474",85.383829,"2018207_2370.0",2018207,"2370.0",2.74223,60.617645,0.978458283548276,0.0215417164517244,27873.6348049044,2.32868929454376,0.0512683732466482
"11b","T15","T15_475",1545.0257,"2018207_2375.0",2018207,"2375.0",2.9113116,60.618805,0.978458283548276,0.0215417164517244,27873.6348049044,42.1377777211769,0.92770440481492
"11b","T15","T15_476",46.859657,"2018207_2380.0",2018207,"2380.0",3.0805647,60.61882,0.978458283548276,0.0215417164517244,27873.6348049044,1.27801227562531,0.0281366906757708
"11b","T15","T15_477",140.989015,"2018207_2385.6",2018207,"2385.6",3.0994866,60.623444,0.978458283548276,0.0215417164517244,27873.6348049044,3.8452200343319,0.0846562812812867
"11b","T15","T15_478",3977.884455,"2018207_2390.0",2018207,"2390.0",3.2440016,60.618626,0.978458283548276,0.0215417164517244,27873.6348049044,108.489594034141,2.38850456063501
