Stratum,Transect,FID,SA,ID,Cruise,LOG,longitude,latitude,Mat_Perc,Imm_Perc,multiplier,MAT,IMM
101,T71,T71_154,51.44,NLHERAS2018_770.0,NLHERAS2018,770,-3.381,57.898,0,1,49466.99522,0,2.544582234
101,T70,T70_167,185.49,NLHERAS2018_835.0,NLHERAS2018,835,-2.989,58.071,0,1,49466.99522,0,9.175632943
101,T71,T71_153,14.35,NLHERAS2018_765.0,NLHERAS2018,765,-3.461,57.969,0,1,49466.99522,0,0.709851381
101,T70,T70_166,112.86,NLHERAS2018_830.0,NLHERAS2018,830,-2.912,57.998,0,1,49466.99522,0,5.58284508
101,T69,T69_173,15.86,NLHERAS2018_865.0,NLHERAS2018,865,-2.768,58.372,0,1,49466.99522,0,0.784546544
101,T70,T70_168,153.45,NLHERAS2018_840.0,NLHERAS2018,840,-3.074,58.142,0,1,49466.99522,0,7.590710416
101,T71,T71_152,0,NLHERAS2018_762.5,NLHERAS2018,762.5,-3.499,58.004,0,1,49466.99522,0,0
101,T69,T69_172,48.27,NLHERAS2018_861.0,NLHERAS2018,861,-2.833,58.429,0,1,49466.99522,0,2.387771859
101,T70,T70_160,516.55,NLHERAS2018_802.0,NLHERAS2018,802,-2.641,57.758,0,1,49466.99522,0,25.55217638
101,T69,T69_174,0.01,NLHERAS2018_870.0,NLHERAS2018,870,-2.687,58.3,0,1,49466.99522,0,0.00049467
101,T69,T69_175,3.64,NLHERAS2018_875.0,NLHERAS2018,875,-2.609,58.227,0,1,49466.99522,0,0.180059863
101,T69,T69_176,12.07,NLHERAS2018_880.0,NLHERAS2018,880,-2.531,58.155,0,1,49466.99522,0,0.597066632
101,T69,T69_181,2587.46,NLHERAS2018_905.0,NLHERAS2018,905,-2.122,57.808,0,1,49466.99522,0,127.9938714
101,T69,T69_182,0,NLHERAS2018_910.0,NLHERAS2018,910,-2.04,57.737,0,1,49466.99522,0,0
101,T70,T70_161,2007.338,NLHERAS2018_805.0,NLHERAS2018,805,-2.687,57.801,0,1,49466.99522,0,99.29697924
101,T71,T71_155,70.28,NLHERAS2018_775.0,NLHERAS2018,775,-3.301,57.832,0,1,49466.99522,0,3.476540424
101,T70,T70_165,469.37,NLHERAS2018_825.0,NLHERAS2018,825,-2.831,57.927,0,1,49466.99522,0,23.21832354
101,T69,T69_180,88.43,NLHERAS2018_900.0,NLHERAS2018,900,-2.211,57.877,0,1,49466.99522,0,4.374366387
101,T70,T70_164,403.867,NLHERAS2018_821.3,NLHERAS2018,821.3,-2.773,57.874,0,1,49466.99522,0,19.97808696
101,T69,T69_178,12.1,NLHERAS2018_890.0,NLHERAS2018,890,-2.384,58.016,0,1,49466.99522,0,0.598550642
101,T69,T69_179,24.12,NLHERAS2018_895.0,NLHERAS2018,895,-2.301,57.946,0,1,49466.99522,0,1.193143925
101,T69,T69_177,30.64,NLHERAS2018_885.0,NLHERAS2018,885,-2.475,58.084,0,1,49466.99522,0,1.515668733
111,T79,T79_118,690.41633,0918S_590.7,0918S,590.7,-0.88,59.72,0.909217362,0.090782638,21392.02904,13.42860053,1.340805651
111,T79,T79_116,1549.16873,0918S_580.7,0918S,580.7,-1.2,59.71,0.909217362,0.090782638,21392.02904,30.13133832,3.008524129
111,T79,T79_117,1654.5889,0918S_585.7,0918S,585.7,-1.04,59.71,0.909217362,0.090782638,21392.02904,32.18176107,3.213252716
111,T79,T79_119,0,0918S_595.3,0918S,595.3,-0.72,59.71,0.909217362,0.090782638,21392.02904,0,0
111,T79,T79_120,5129.6938,0918S_600.8,0918S,600.8,-0.53,59.71,0.909217362,0.090782638,21392.02904,99.77256602,9.961992696
111,T80,T80_141,0,0918S_706.7,0918S,706.7,1.04,59.96,0.984395977,0.015604023,21392.02904,0,0
111,T80,T80_142,12.57637,0918S_710.7,0918S,710.7,0.91,59.96,0.984395977,0.015604023,21392.02904,0.264836058,0.004198014
111,T80,T80_139,0,0918S_695.3,0918S,695.3,1.43,59.96,0.984395977,0.015604023,21392.02904,0,0
111,T80,T80_140,21.11789,0918S_700.3,0918S,700.3,1.26,59.96,0.984395977,0.015604023,21392.02904,0.444705328,0.007049188
111,T80,T80_145,37.91684,0918S_725.7,0918S,725.7,0.41,59.96,0.984395977,0.015604023,21392.02904,0.798461436,0.012656706
111,T79,T79_112,0,0918S_564.7,0918S,564.7,-1.73,59.71,0.909217362,0.090782638,21392.02904,0,0
111,T80,T80_143,0,0918S_715.7,0918S,715.7,0.75,59.96,0.984395977,0.015604023,21392.02904,0,0
111,T80,T80_144,39.66969,0918S_720.7,0918S,720.7,0.58,59.96,0.984395977,0.015604023,21392.02904,0.83537335,0.01324181
111,T79,T79_115,0,0918S_575.7,0918S,575.7,-1.37,59.71,0.909217362,0.090782638,21392.02904,0,0
