"Stratum","Transect","FID","SA","ID","Cruise","LOG","longitude","latitude","Mat_Perc","Imm_Perc","multiplier","MAT","IMM"
"101","T35","T35_10",279.61,"NLHERAS2019_50.0","NLHERAS2019","50.0",-2.237,57.765,0,1,73659.5108441055,0,20.5959358271203
"101","T34","T34_470",0,"0919S_2350.1","0919S","2350.1",-2.96,57.88,0,1,73659.5108441055,0,0
"101","T35","T35_16",0,"NLHERAS2019_80.0","NLHERAS2019","80.0",-2.582,58.065,0,1,73659.5108441055,0,0
"101","T35","T35_9",285.24,"NLHERAS2019_46.0","NLHERAS2019","46.0",-2.151,57.733,0,1,73659.5108441055,0,21.0106388731727
"101","T34","T34_469",0,"0919S_2345.1","0919S","2345.1",-3.05,57.95,0,1,73659.5108441055,0,0
"101","T35","T35_15",0,"NLHERAS2019_78.9","NLHERAS2019","78.9",-2.562,58.05,0,1,73659.5108441055,0,0
"101","T34","T34_468",0,"0919S_2340.1","0919S","2340.1",-3.14,58.01,0,1,73659.5108441055,0,0
"101","T35","T35_11",2850.95,"NLHERAS2019_55.0","NLHERAS2019","55.0",-2.321,57.837,0,1,73659.5108441055,0,209.999582441003
"101","T34","T34_466",0,"0919S_2330.1","0919S","2330.1",-3.33,58.13,0,1,73659.5108441055,0,0
"101","T34","T34_467",0,"0919S_2335.1","0919S","2335.1",-3.23,58.07,0,1,73659.5108441055,0,0
"101","T35","T35_13",422.69,"NLHERAS2019_65.0","NLHERAS2019","65.0",-2.488,57.978,0,1,73659.5108441055,0,31.135138638695
"101","T34","T34_471",0,"0919S_2355.1","0919S","2355.1",-2.87,57.82,0,1,73659.5108441055,0,0
"101","T34","T34_465",0,"0919S_2327.1","0919S","2327.1",-3.38,58.16,0,1,73659.5108441055,0,0
"101","T34","T34_472",0,"0919S_2360.1","0919S","2360.1",-2.78,57.76,0,1,73659.5108441055,0,0
"101","T35","T35_12",226.76,"NLHERAS2019_60.0","NLHERAS2019","60.0",-2.403,57.908,0,1,73659.5108441055,0,16.7030306790094
"111","T12","T12_252",183.0036,"0919S_1260.8","0919S","1260.8",1.81,61.36,1,0,17757.978268478,3.24977395185323,0
"111","T12","T12_250",0,"0919S_1250.8","0919S","1250.8",1.49,61.35,1,0,17757.978268478,0,0
"111","T11","T11_253",0,"0919S_1266.7","0919S","1266.7",2,61.36,1,0,17757.978268478,0,0
"111","T12","T12_253",0,"0919S_1265.8","0919S","1265.8",1.97,61.36,1,0,17757.978268478,0,0
"111","T13","T13_223",35.64209,"0919S_1115.6","0919S","1115.6",1.17,61.11,0.999645063205912,0.000354936794087617,17757.978268478,0.632706808999965,0.000224650663170029
"111","T15","T15_209",4003.50371,"0919S_1045.7","0919S","1045.7",0.57,60.61,0.999728528176087,0.00027147182391308,17757.978268478,71.0748318262999,0.0193000536509673
"111","T13","T13_227",1715.06653,"0919S_1135.6","0919S","1135.6",0.51,61.11,0.999645063205912,0.000354936794087617,17757.978268478,30.4453041732105,0.0108099955234169
"111","T12","T12_251",211.70289,"0919S_1255.8","0919S","1255.8",1.65,61.36,1,0,17757.978268478,3.75941531999398,0
"111","T13","T13_218",0,"0919S_1090.6","0919S","1090.6",1.99,61.11,0.999645063205912,0.000354936794087617,17757.978268478,0,0
"111","T12","T12_249",0,"0919S_1245.8","0919S","1245.8",1.34,61.36,1,0,17757.978268478,0,0
"111","T13","T13_219",0,"0919S_1095.6","0919S","1095.6",1.82,61.11,0.999645063205912,0.000354936794087617,17757.978268478,0,0
"111","T13","T13_220",40.03886,"0919S_1100.6","0919S","1100.6",1.66,61.11,0.999645063205912,0.000354936794087617,17757.978268478,0.710756842446567,0.000252363328064431
"111","T15","T15_203",5499.616,"0919S_1015.0","0919S","1015.0",-0.41,60.61,0.999728528176087,0.00027147182391308,17757.978268478,97.6355489150347,0.0265124979388912
"111","T15","T15_204",10377.65359,"0919S_1020.0","0919S","1020.0",-0.25,60.61,0.999728528176087,0.00027147182391308,17757.978268478,184.236118432583,0.0500284964287328
"111","T12","T12_244",0,"0919S_1220.1","0919S","1220.1",0.49,61.36,1,0,17757.978268478,0,0
"111","T15","T15_210",4055.9649,"0919S_1050.7","0919S","1050.7",0.73,60.61,0.999728528176087,0.00027147182391308,17757.978268478,72.0061835938389,0.0195529580704298
"111","T13","T13_221",689.53145,"0919S_1105.6","0919S","1105.6",1.5,61.11,0.999645063205912,0.000354936794087617,17757.978268478,12.2403384154694,0.00434608906265295
"111","T13","T13_222",0,"0919S_1110.6","0919S","1110.6",1.33,61.11,0.999645063205912,0.000354936794087617,17757.978268478,0,0
"111","T13","T13_226",542.9014,"0919S_1130.6","0919S","1130.6",0.68,61.11,0.999645063205912,0.000354936794087617,17757.978268478,9.63740937738538,0.00342188574087371
"111","T14","T14_288",436.7118,"0919S_1440.5","0919S","1440.5",-0.75,60.86,0.99972929158705,0.000270708412949807,17757.978268478,7.75301927812483,0.00209937586305851
"111","T13","T13_228",1174.31218,"0919S_1140.6","0919S","1140.6",0.35,61.11,0.999645063205912,0.000354936794087617,17757.978268478,20.8460085302964,0.00740164255254512
"111","T13","T13_229",957.7039,"0919S_1145.6","0919S","1145.6",0.19,61.11,0.999645063205912,0.000354936794087617,17757.978268478,17.0008486745817,0.006036369254876
"111","T13","T13_230",654.24863,"0919S_1150.6","0919S","1150.6",0.02,61.11,0.999645063205912,0.000354936794087617,17757.978268478,11.6140092508576,0.0041237028638776
"111","T15","T15_205",7566.9044,"0919S_1025.1","0919S","1025.1",-0.1,60.61,0.999728528176087,0.00027147182391308,17757.978268478,134.336445432116,0.0364784627342685
"111","T15","T15_206",1413.74164,"0919S_1030.1","0919S","1030.1",0.06,60.61,0.999728528176087,0.00027147182391308,17757.978268478,25.098377967742,0.00681535262036925
"111","T15","T15_207",8333.94589,"0919S_1035.1","0919S","1035.1",0.22,60.61,0.999728528176087,0.00027147182391308,17757.978268478,147.953853796037,0.0401762092537835
"111","T15","T15_208",4382.91698,"0919S_1040.7","0919S","1040.7",0.41,60.61,0.999728528176087,0.00027147182391308,17757.978268478,77.8106153577498,0.0211291256332408
"111","T17","T17_174",272.33367,"0919S_870.2","0919S","870.2",0.53,60.11,0.994084745922485,0.00591525407751514,17757.978268478,4.80748866063839,0.0286067329964507
"111","T12","T12_245",9.33145,"0919S_1225.2","0919S","1225.2",0.66,61.36,1,0,17757.978268478,0.165707686313389,0
"111","T13","T13_224",46.47313,"0919S_1120.6","0919S","1120.6",1.01,61.11,0.999645063205912,0.000354936794087617,17757.978268478,0.824975914334444,0.000292918273706367
"111","T13","T13_225",388.20484,"0919S_1125.6","0919S","1125.6",0.84,61.11,0.999645063205912,0.000354936794087617,17757.978268478,6.89128627290774,0.00244683953022438
"111","T12","T12_248",446.31295,"0919S_1240.8","0919S","1240.8",1.18,61.37,1,0,17757.978268478,7.92561566704029,0
"111","T15","T15_213",395.46789,"0919S_1065.7","0919S","1065.7",1.21,60.61,0.999728528176087,0.00027147182391308,17757.978268478,7.02080372855497,0.00190646794585706
"111","T15","T15_201",361.53601,"0919S_1006.0","0919S","1006.0",-0.7,60.61,0.999728528176087,0.00027147182391308,17757.978268478,6.41840571939959,0.00174288945263814
"111","T15","T15_202",487.18596,"0919S_1010.0","0919S","1010.0",-0.57,60.61,0.999728528176087,0.00027147182391308,17757.978268478,8.64908906881829,0.00234862156927988
"111","T17","T17_169",4281.37387,"0919S_845.2","0919S","845.2",-0.26,60.11,0.994084745922485,0.00591525407751514,17757.978268478,75.5788159869417,0.449728155747583
"111","T17","T17_170",1152.7434,"0919S_850.2","0919S","850.2",-0.1,60.11,0.994084745922485,0.00591525407751514,17757.978268478,20.3493046751279,0.121087571203446
"111","T17","T17_171",7790.0676,"0919S_855.2","0919S","855.2",0.06,60.11,0.994084745922485,0.00591525407751514,17757.978268478,137.517559443188,0.818291707586144
"111","T17","T17_172",4596.793075,"0919S_860.2","0919S","860.2",0.21,60.11,0.994084745922485,0.00591525407751514,17757.978268478,81.1468908099524,0.482860720587574
"111","T17","T17_173",341.44092,"0919S_865.2","0919S","865.2",0.38,60.11,0.994084745922485,0.00591525407751514,17757.978268478,6.02743447469401,0.0358659626351104
"111","T16","T16_185",400.0267,"0919S_925.2","0919S","925.2",1.73,60.36,1,0,17757.978268478,7.10366544541095,0
"111","T17","T17_175",84.18614,"0919S_875.2","0919S","875.2",0.69,60.11,0.994084745922485,0.00591525407751514,17757.978268478,1.48613248384938,0.00884316077766593
"111","T12","T12_246",641.4678,"0919S_1230.2","0919S","1230.2",0.83,61.36,1,0,17757.978268478,11.3911712523284,0
"111","T12","T12_247",237.294,"0919S_1235.2","0919S","1235.2",0.99,61.36,1,0,17757.978268478,4.21386169524021,0
"111","T15","T15_212",202.6689,"0919S_1060.7","0919S","1060.7",1.05,60.61,0.999728528176087,0.00027147182391308,17757.978268478,3.59801289753799,0.000977024358341991
"111","T16","T16_190",0,"0919S_950.6","0919S","950.6",0.91,60.36,1,0,17757.978268478,0,0
"111","T15","T15_214",517.07858,"0919S_1070.7","0919S","1070.7",1.38,60.61,0.999728528176087,0.00027147182391308,17757.978268478,9.17977745910018,0.00249272763525577
"111","T15","T15_215",205.67445,"0919S_1075.7","0919S","1075.7",1.53,60.61,0.999728528176087,0.00027147182391308,17757.978268478,3.65137089999518,0.000991513485979308
"111","T15","T15_216",0,"0919S_1080.7","0919S","1080.7",1.7,60.61,0.999728528176087,0.00027147182391308,17757.978268478,0,0
"111","T15","T15_217",0,"0919S_1085.7","0919S","1085.7",1.86,60.61,0.999728528176087,0.00027147182391308,17757.978268478,0,0
"111","T15","T15_218",0,"0919S_1090.3","0919S","1090.3",2.01,60.62,0.999728528176087,0.00027147182391308,17757.978268478,0,0
"111","T16","T16_183",31.3373,"0919S_917.2","0919S","917.2",1.99,60.36,1,0,17757.978268478,0.556487092392774,0
"111","T16","T16_184",0,"0919S_920.2","0919S","920.2",1.89,60.36,1,0,17757.978268478,0,0
"111","T12","T12_243",0,"0919S_1215.1","0919S","1215.1",0.33,61.36,1,0,17757.978268478,0,0
"111","T16","T16_199",1469.3382,"0919S_995.1","0919S","995.1",-0.51,60.36,1,0,17757.978268478,26.0924758246445,0
"111","T11","T11_254",0,"0919S_1270.7","0919S","1270.7",1.87,61.61,1,0,17757.978268478,0,0
"111","T15","T15_211",5511.20479,"0919S_1055.7","0919S","1055.7",0.89,60.61,0.999728528176087,0.00027147182391308,17757.978268478,97.8412865288811,0.0265683650705217
"111","T16","T16_189",0,"0919S_945.6","0919S","945.6",1.07,60.36,1,0,17757.978268478,0,0
"111","T18","T18_164",1118.8932,"0919S_820.7","0919S","820.7",-1.15,59.86,0.991582959843083,0.00841704015691743,17757.978268478,19.7020405931845,0.167240537163219
"111","T19","T19_118",0,"0919S_591.7","0919S","591.7",-1.96,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0,0
"111","T19","T19_119",0,"0919S_595.7","0919S","595.7",-1.84,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0,0
"111","T19","T19_120",0,"0919S_600.7","0919S","600.7",-1.68,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0,0
"111","T19","T19_121",26.48124,"0919S_605.7","0919S","605.7",-1.53,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0.468634590159106,0.00161869428324337
"111","T19","T19_122",337.2011,"0919S_610.7","0919S","610.7",-1.37,59.61,0.996557824609002,0.00344217539099787,17757.978268478,5.96739802591191,0.0206117799949465
"111","T19","T19_123",480.57624,"0919S_615.7","0919S","615.7",-1.21,59.61,0.996557824609002,0.00344217539099787,17757.978268478,8.50468668659791,0.0293757396689353
"111","T19","T19_124",1585.32828,"0919S_620.7","0919S","620.7",-1.06,59.61,0.996557824609002,0.00344217539099787,17757.978268478,28.0553202480488,0.0969048965947233
"111","T19","T19_125",3148.68205,"0919S_625.2","0919S","625.2",-0.9,59.61,0.996557824609002,0.00344217539099787,17757.978268478,55.7217608406209,0.192466577625747
"111","T19","T19_126",2898.65418,"0919S_630.0","0919S","630.0",-0.76,59.61,0.996557824609002,0.00344217539099787,17757.978268478,51.2970545811782,0.177183355094607
"111","T16","T16_200",934.7395,"0919S_1000.1","0919S","1000.1",-0.67,60.36,1,0,17757.978268478,16.5990837276879,0
"111","T18","T18_162",199.9725,"0919S_810.7","0919S","810.7",-0.84,59.86,0.991582959843083,0.00841704015691743,17757.978268478,3.52121749646936,0.0298898128238439
"111","T18","T18_163",1249.08572,"0919S_815.7","0919S","815.7",-1,59.86,0.991582959843083,0.00841704015691743,17757.978268478,21.9945367080675,0.186700363158616
"111","T19","T19_130",3538.0092,"0919S_650.0","0919S","650.0",-0.13,59.61,0.996557824609002,0.00344217539099787,17757.978268478,62.6116258687714,0.216264618503607
"111","T19","T19_131",1166.46364,"0919S_655.0","0919S","655.0",0.02,59.61,0.996557824609002,0.00344217539099787,17757.978268478,20.6427346252252,0.0713013448644873
"111","T19","T19_132",44.31559,"0919S_660.7","0919S","660.7",0.2,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0.784246446061777,0.00270883811300216
"111","T19","T19_133",0,"0919S_665.7","0919S","665.7",0.36,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0,0
"111","T19","T19_134",0,"0919S_670.7","0919S","670.7",0.52,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0,0
"111","T19","T19_135",0,"0919S_675.7","0919S","675.7",0.67,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0,0
"111","T19","T19_136",0,"0919S_680.4","0919S","680.4",0.83,59.62,0.996557824609002,0.00344217539099787,17757.978268478,0,0
"111","T13","T13_231",3771.5498,"0919S_1155.6","0919S","1155.6",-0.14,61.11,0.999645063205912,0.000354936794087617,17757.978268478,66.9513274598223,0.0237719270600796
"111","T13","T13_232",15057.5029,"0919S_1160.6","0919S","1160.6",-0.3,61.11,0.999645063205912,0.000354936794087617,17757.978268478,267.295902439131,0.094906836612826
"111","T13","T13_233",8040.3835,"0919S_1165.6","0919S","1165.6",-0.47,61.11,0.999645063205912,0.000354936794087617,17757.978268478,142.73027724864,0.0506782145888853
"111","T19","T19_127",330.2368,"0919S_635.0","0919S","635.0",-0.61,59.61,0.996557824609002,0.00344217539099787,17757.978268478,5.84415183818637,0.0201860796653248
"111","T19","T19_128",33.23862,"0919S_640.0","0919S","640.0",-0.45,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0.588218945228934,0.0020317464052627
"111","T19","T19_129",13.4759,"0919S_645.0","0919S","645.0",-0.29,59.61,0.996557824609002,0.00344217539099787,17757.978268478,0.238481010463449,0.000823728884733471
"111","T11","T11_269",555.48937,"0919S_1345.5","0919S","1345.5",-0.58,61.61,1,0,17757.978268478,9.86436816083051,0
"111","T11","T11_270",0,"0919S_1350.5","0919S","1350.5",-0.75,61.6,1,0,17757.978268478,0,0
"111","T16","T16_191",0,"0919S_955.6","0919S","955.6",0.75,60.36,1,0,17757.978268478,0,0
"111","T16","T16_192",0,"0919S_960.6","0919S","960.6",0.58,60.36,1,0,17757.978268478,0,0
"111","T16","T16_193",0,"0919S_965.6","0919S","965.6",0.42,60.36,1,0,17757.978268478,0,0
"111","T16","T16_194",3328.6867,"0919S_970.6","0919S","970.6",0.26,60.36,1,0,17757.978268478,59.1107460811716,0
"111","T16","T16_195",22933.2154,"0919S_975.6","0919S","975.6",0.11,60.36,1,0,17757.978268478,407.247540699524,0
"111","T16","T16_196",11027.9775,"0919S_980.6","0919S","980.6",-0.05,60.36,1,0,17757.978268478,195.834584790264,0
"111","T16","T16_197",4524.5794,"0919S_985.1","0919S","985.1",-0.19,60.36,1,0,17757.978268478,80.347382659203,0
