"Stratum","Transect","FID","SA","ID","Cruise","LOG","longitude","latitude","Mat_Perc","Imm_Perc","multiplier","MAT","IMM"
"101","T62","T62_472",0,"0919S_2360.1","0919S","2360.1",-2.78,57.76,1,0,231326.064920557,0,0
"101","T62","T62_471",0,"0919S_2355.1","0919S","2355.1",-2.87,57.82,1,0,231326.064920557,0,0
"101","T42","T42_9",285.24,"NLHERAS2019_47.0","NLHERAS2019","47.0",-2.185,57.724,1,0,231326.064920557,65.9834467579397,0
"101","T62","T62_468",0,"0919S_2340.1","0919S","2340.1",-3.14,58.01,1,0,231326.064920557,0,0
"101","T62","T62_470",0,"0919S_2350.1","0919S","2350.1",-2.96,57.88,1,0,231326.064920557,0,0
"101","T42","T42_11",214.4,"NLHERAS2019_55.0","NLHERAS2019","55.0",-2.321,57.837,1,0,231326.064920557,49.5963083189675,0
"101","T42","T42_12",226.76,"NLHERAS2019_60.0","NLHERAS2019","60.0",-2.403,57.908,1,0,231326.064920557,52.4554984813855,0
"101","T42","T42_13",422.69,"NLHERAS2019_65.0","NLHERAS2019","65.0",-2.488,57.978,1,0,231326.064920557,97.7792143812703,0
"101","T42","T42_15",0,"NLHERAS2019_78.9","NLHERAS2019","78.9",-2.562,58.05,1,0,231326.064920557,0,0
"101","T42","T42_16",0,"NLHERAS2019_80.0","NLHERAS2019","80.0",-2.582,58.065,1,0,231326.064920557,0,0
"101","T62","T62_467",0,"0919S_2335.1","0919S","2335.1",-3.23,58.07,1,0,231326.064920557,0,0
"101","T62","T62_469",0,"0919S_2345.1","0919S","2345.1",-3.05,57.95,1,0,231326.064920557,0,0
"101","T62","T62_466",0,"0919S_2332.1","0919S","2332.1",-3.29,58.1,1,0,231326.064920557,0,0
"101","T42","T42_10",279.61,"NLHERAS2019_50.0","NLHERAS2019","50.0",-2.237,57.765,1,0,231326.064920557,64.681081012437,0
"131","T60","T60_775",0,"06SL764_3875.0","06SL764","3875.0",2.370981,55.31464,0.9590739938621,0.0409260061378997,285528.945893824,0,0
"131","T61","T61_750",1.8233,"06SL764_3750.0","06SL764","3750.0",2.326572,55.81147,0.9590739938621,0.0409260061378997,285528.945893824,0.499298646608414,0.0213062804397958
"131","T60","T60_771",10.00985,"06SL764_3855.0","06SL764","3855.0",2.133589,55.31473,0.9590739938621,0.0409260061378997,285528.945893824,2.7411312223733,0.116970696682
"131","T60","T60_773",21.14845,"06SL764_3865.0","06SL764","3865.0",2.269077,55.31443,0.9590739938621,0.0409260061378997,285528.945893824,5.79136316726031,0.247131468527944
"131","T60","T60_774",0,"06SL764_3874.0","06SL764","3874.0",2.341772,55.31462,0.9590739938621,0.0409260061378997,285528.945893824,0,0
"131","T61","T61_754",2.54161,"06SL764_3770.0","06SL764","3770.0",1.750839,55.87572,0.9590739938621,0.0409260061378997,285528.945893824,0.696003089566397,0.0297001346068061
"131","T61","T61_751",33.24459,"06SL764_3755.0","06SL764","3755.0",2.181579,55.82653,0.9590739938621,0.0409260061378997,285528.945893824,9.10381110845808,0.388481630914294
"131","T61","T61_752",0,"06SL764_3760.0","06SL764","3760.0",2.03661,55.84252,0.9590739938621,0.0409260061378997,285528.945893824,0,0
"131","T61","T61_753",0,"06SL764_3765.0","06SL764","3765.0",1.891892,55.8591,0.9590739938621,0.0409260061378997,285528.945893824,0,0
"131","T60","T60_777",0,"06SL764_3885.0","06SL764","3885.0",2.662708,55.31472,0.9590739938621,0.0409260061378997,285528.945893824,0,0
"131","T61","T61_755",0,"06SL764_3775.0","06SL764","3775.0",1.603071,55.87978,0.9590739938621,0.0409260061378997,285528.945893824,0,0
"131","T61","T61_756",0.88574,"06SL764_3780.0","06SL764","3780.0",1.455139,55.88343,0.9590739938621,0.0409260061378997,285528.945893824,0.24255404115995,0.0103503673760461
"131","T60","T60_776",0,"06SL764_3880.0","06SL764","3880.0",2.51685,55.31434,0.9590739938621,0.0409260061378997,285528.945893824,0,0
"131","T61","T61_749",158.12226,"06SL764_3746.5","06SL764","3746.5",2.429482,55.80209,0.9590739938621,0.0409260061378997,285528.945893824,43.3007351596906,1.84774706045868
"131","T60","T60_782",0.48079,"06SL764_3910.0","06SL764","3910.0",3.268476,55.31477,0.9590739938621,0.0409260061378997,285528.945893824,0.131661161796117,0.0056183001001752
"131","T60","T60_783",0.31297,"06SL764_3915.0","06SL764","3915.0",3.414361,55.31409,0.9590739938621,0.0409260061378997,285528.945893824,0.0857047646734138,0.00365722952297642
"131","T60","T60_784",34.94735,"06SL764_3920.0","06SL764","3920.0",3.560209,55.31514,0.9590739938621,0.0409260061378997,285528.945893824,9.57010067325759,0.408379334024954
"131","T60","T60_787",113.19586,"06SL764_3936.0","06SL764","3936.0",3.867435,55.31485,0.9590739938621,0.0409260061378997,285528.945893824,30.9979376403639,1.32275694498101
"131","T60","T60_788",8.24395,"06SL764_3940.0","06SL764","3940.0",3.984134,55.31482,0.9590739938621,0.0409260061378997,285528.945893824,2.25755118615008,0.0963351673513163
"131","T60","T60_789",5.66986,"06SL764_3945.0","06SL764","3945.0",4.129998,55.31441,0.9590739938621,0.0409260061378997,285528.945893824,1.55265366339011,0.0662554857754516
