"Stratum","Transect","FID","SA","ID","Cruise","LOG","longitude","latitude","Mat_Perc","Imm_Perc","multiplier","MAT","IMM"
"1","T1","T1_323",0,"0918S_1615.9","0918S","1615.9",-4.04,60.14,1,0,33811.4018429692,0,0
"1","T1","T1_324",0,"0918S_1620.9","0918S","1620.9",-4.2,60.14,1,0,33811.4018429692,0,0
"1","T2","T2_330",17.99732,"0918S_1650.2","0918S","1650.2",-4.83,59.89,1,0,33811.4018429692,0.608514618616507,0
"1","T2","T2_327",256.09901,"0918S_1635.2","0918S","1635.2",-4.34,59.89,1,0,33811.4018429692,8.6590665386966,0
"1","T2","T2_328",9.87725,"0918S_1640.2","0918S","1640.2",-4.5,59.89,1,0,33811.4018429692,0.333963668853468,0
"1","T2","T2_329",64.02205,"0918S_1645.2","0918S","1645.2",-4.67,59.89,1,0,33811.4018429692,2.16467525936067,0
"1","T2","T2_325",0,"0918S_1625.2","0918S","1625.2",-4.01,59.89,1,0,33811.4018429692,0,0
"1","T2","T2_331",0,"0918S_1655.2","0918S","1655.2",-5,59.89,1,0,33811.4018429692,0,0
"1","T2","T2_326",43.96759,"0918S_1630.2","0918S","1630.2",-4.17,59.89,1,0,33811.4018429692,1.48660585355692,0
"1","T4","T4_356",0,"0918S_1783.1","0918S","1783.1",-4.02,59.39,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T4","T4_357",0,"0918S_1785.1","0918S","1785.1",-4.08,59.39,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T4","T4_358",0,"0918S_1790.1","0918S","1790.1",-4.25,59.39,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T4","T4_359",0,"0918S_1795.1","0918S","1795.1",-4.41,59.39,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T37","T37_561",0,"45CE2018WESPAS_2_2805.7","45CE2018WESPAS_2","2805.7",-8.032453,58.53875,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T37","T37_562",0,"45CE2018WESPAS_2_2810.7","45CE2018WESPAS_2","2810.7",-7.87704,58.53776,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T37","T37_563",0,"45CE2018WESPAS_2_2817.7","45CE2018WESPAS_2","2817.7",-7.862425,58.53769,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T37","T37_564",0,"45CE2018WESPAS_2_2820.7","45CE2018WESPAS_2","2820.7",-7.766675,58.53871,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T37","T37_565",0,"45CE2018WESPAS_2_2825.7","45CE2018WESPAS_2","2825.7",-7.607142,58.53955,0.616682071667006,0.383317928332994,33811.4018429692,0,0
"1","T37","T37_566",54.65657,"45CE2018WESPAS_2_2830.7","45CE2018WESPAS_2","2830.7",-7.447621,58.53779,0.616682071667006,0.383317928332994,33811.4018429692,1.13963787384641,0.708377377781966
"1","T37","T37_567",201.4103,"45CE2018WESPAS_2_2835.7","45CE2018WESPAS_2","2835.7",-7.287912,58.53706,0.616682071667006,0.383317928332994,33811.4018429692,4.1995830704848,2.61038151812818
"1","T37","T37_569",381.49046,"45CE2018WESPAS_2_2846.7","45CE2018WESPAS_2","2846.7",-7.174626,58.53857,0.616682071667006,0.383317928332994,33811.4018429692,7.95441383766104,4.94431340465814
"1","T37","T37_570",1057.75556,"45CE2018WESPAS_2_2850.7","45CE2018WESPAS_2","2850.7",-7.046945,58.53837,0.616682071667006,0.383317928332994,33811.4018429692,22.055139893477,13.7090583973179
"1","T37","T37_571",2826.70097,"45CE2018WESPAS_2_2855.7","45CE2018WESPAS_2","2855.7",-6.887243,58.53847,0.616682071667006,0.383317928332994,33811.4018429692,58.9392178003557,36.6355045862252
"1","T37","T37_572",143.77831,"45CE2018WESPAS_2_2860.7","45CE2018WESPAS_2","2860.7",-6.727542,58.5386,0.616682071667006,0.383317928332994,33811.4018429692,2.99790505539645,1.86344116031655
"1","T37","T37_573",55.16408,"45CE2018WESPAS_2_2865.7","45CE2018WESPAS_2","2865.7",-6.568023,58.53842,0.616682071667006,0.383317928332994,33811.4018429692,1.15021990666252,0.714954969515186
"1","T37","T37_574",479.8686,"45CE2018WESPAS_2_2870.7","45CE2018WESPAS_2","2870.7",-6.408364,58.53879,0.616682071667006,0.383317928332994,33811.4018429692,10.0056851542212,6.21934491220183
"1","T38","T38_389",0,"0918S_1947.7","0918S","1947.7",-4,58.64,0,1,33811.4018429692,0,0
"1","T38","T38_390",0,"0918S_1950.7","0918S","1950.7",-4.1,58.64,0,1,33811.4018429692,0,0
"1","T3","T3_336",0,"0918S_1680.1","0918S","1680.1",-5.44,59.64,1,0,33811.4018429692,0,0
"1","T3","T3_337",26.95182,"0918S_1685.1","0918S","1685.1",-5.28,59.64,1,0,33811.4018429692,0.911278816419375,0
"1","T3","T3_338",0,"0918S_1690.5","0918S","1690.5",-5.09,59.64,1,0,33811.4018429692,0,0
"1","T3","T3_335",0,"0918S_1675.1","0918S","1675.1",-5.61,59.64,1,0,33811.4018429692,0,0
"1","T3","T3_340",372.54188,"0918S_1700.5","0918S","1700.5",-4.76,59.64,1,0,33811.4018429692,12.5961632080152,0
"1","T3","T3_341",123.71002,"0918S_1705.5","0918S","1705.5",-4.6,59.64,1,0,33811.4018429692,4.18280919822176,0
"1","T3","T3_342",242.5484,"0918S_1710.5","0918S","1710.5",-4.43,59.64,1,0,33811.4018429692,8.20090141876924,0
"1","T3","T3_339",37.55817,"0918S_1695.5","0918S","1695.5",-4.92,59.64,1,0,33811.4018429692,1.26989437835655,0
"1","T3","T3_331",0,"0918S_1658.1","0918S","1658.1",-6.16,59.64,1,0,33811.4018429692,0,0
"1","T3","T3_332",0,"0918S_1660.1","0918S","1660.1",-6.1,59.64,1,0,33811.4018429692,0,0
"1","T3","T3_333",0,"0918S_1665.1","0918S","1665.1",-5.94,59.64,1,0,33811.4018429692,0,0
"1","T3","T3_334",0,"0918S_1670.1","0918S","1670.1",-5.77,59.64,1,0,33811.4018429692,0,0
"1","T3","T3_343",0,"0918S_1715.7","0918S","1715.7",-4.26,59.64,1,0,33811.4018429692,0,0
"1","T3","T3_344",0,"0918S_1720.7","0918S","1720.7",-4.1,59.64,1,0,33811.4018429692,0,0
"1","T39","T39_576",0,"45CE2018WESPAS_2_2880.7","45CE2018WESPAS_2","2880.7",-6.089247,58.53861,0,1,33811.4018429692,0,0
"1","T39","T39_577",69.83337,"45CE2018WESPAS_2_2885.7","45CE2018WESPAS_2","2885.7",-5.929646,58.53772,0,1,33811.4018429692,0,2.36116413511875
"1","T39","T39_578",172.11672,"45CE2018WESPAS_2_2890.7","45CE2018WESPAS_2","2890.7",-5.770111,58.53882,0,1,33811.4018429692,0,5.81950758381382
