"Stratum","Transect","FID","SA","ID","Cruise","LOG","longitude","latitude","Mat_Perc","Imm_Perc","multiplier","MAT","IMM"
"1","T1","T1_358",0,"0919S_1791.2","0919S","1791.2",-4.02,60.13,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T1","T1_359",0,"0919S_1795.4","0919S","1795.4",-4.15,60.13,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T1","T1_360",148.2363,"0919S_1800.4","0919S","1800.4",-4.31,60.13,0.998938083001319,0.00106191699868088,20523.7905654108,3.03914003014873,0.00323074524267806
"1","T1","T1_361",0,"0919S_1805.4","0919S","1805.4",-4.47,60.13,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T7","T7_1197",40.89009,"45CE2019WESPAS_L2_5985.0","45CE2019WESPAS_L2","5985.0",-7.208786,58.62822,0.998938083001319,0.00106191699868088,20523.7905654108,0.838328461755887,0.000891181604911738
"1","T7","T7_1198",37.92988,"45CE2019WESPAS_L2_5990.0","45CE2019WESPAS_L2","5990.0",-7.059039,58.62851,0.998938083001319,0.00106191699868088,20523.7905654108,0.777638248166863,0.000826665124300524
"1","T7","T7_1199",0,"45CE2019WESPAS_L2_5995.0","45CE2019WESPAS_L2","5995.0",-6.898886,58.6286,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T7","T7_1200",0,"45CE2019WESPAS_L2_6000.0","45CE2019WESPAS_L2","6000.0",-6.73852,58.62805,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T7","T7_1201",0,"45CE2019WESPAS_L2_6005.0","45CE2019WESPAS_L2","6005.0",-6.578446,58.62912,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T7","T7_1202",0,"45CE2019WESPAS_L2_6010.0","45CE2019WESPAS_L2","6010.0",-6.418316,58.63064,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T3","T3_387",0,"0919S_1936.3","0919S","1936.3",-4,59.63,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T3","T3_388",26.02681,"0919S_1940.3","0919S","1940.3",-4.13,59.63,0.998938083001319,0.00106191699868088,20523.7905654108,0.533601554599482,0.000567242926257508
"1","T3","T3_389",0,"0919S_1945.3","0919S","1945.3",-4.29,59.63,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T3","T3_390",0,"0919S_1950.3","0919S","1950.3",-4.44,59.63,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T3","T3_391",0,"0919S_1955.3","0919S","1955.3",-4.6,59.63,0.998938083001319,0.00106191699868088,20523.7905654108,0,0
"1","T3","T3_392",1224.0429,"0919S_1960.3","0919S","1960.3",-4.75,59.63,0.998938083001319,0.00106191699868088,20523.7905654108,25.0953226437069,0.026677478971135
"1","T3","T3_393",165.5064,"0919S_1965.3","0919S","1965.3",-4.91,59.63,0.998938083001319,0.00106191699868088,20523.7905654108,3.39321155132587,0.00360713950923473
